bucket,raw_name,event_type,description
rebound,Storm,rebound,Storm defensive rebound
foul_committed,Lexie,shootingfoul,Lexie Hull shooting foul (Gabby Williams draws the foul)
rebound,Storm,rebound,Storm defensive rebound
foul_committed,Natasha,shootingfoul,Natasha Howard shooting foul (Gabby Williams draws the foul)
foul_committed,Gabby,shootingfoul,Gabby Williams shooting foul (Aliyah Boston draws the foul)
foul_committed,Natasha,personalfoul,Natasha Howard personal foul (Skylar Diggins draws the foul)
foul_committed,Ezi,personalfoul,Ezi Magbegor personal foul (Aliyah Boston draws the foul)
foul_committed,Aliyah,shootingfoul,Aliyah Boston shooting foul (Ezi Magbegor draws the foul)
foul_committed,Gabby,personalfoul,Gabby Williams personal foul (Damiris Dantas draws the foul)
foul_committed,Skylar,shootingfoul,Skylar Diggins shooting foul (Damiris Dantas draws the foul)
foul_committed,Sophie,personalfoul,Sophie Cunningham personal foul (Alysha Clark draws the foul)
foul_committed,Zia,personalfoul,Zia Cooke personal foul (Kelsey Mitchell draws the foul)
rebound,Storm,rebound,Storm defensive rebound
foul_committed,Damiris,personalfoul,Damiris Dantas personal foul (Dominique Malonga draws the foul)
foul_committed,Zia,personalfoul,Zia Cooke personal foul (Kelsey Mitchell draws the foul)
foul_committed,Erica,offensivefoul,Erica Wheeler offensive foul (Kelsey Mitchell draws the foul)
rebound,Storm,rebound,Storm offensive rebound
foul_committed,Kelsey,personalfoul,Kelsey Mitchell personal foul (Erica Wheeler draws the foul)
foul_committed,Damiris,offensivefoul,Damiris Dantas offensive foul (Alysha Clark draws the foul)
foul_committed,Erica,personalfoul,Erica Wheeler personal foul (Caitlin Clark draws the foul)
foul_committed,Skylar,shootingfoul,Skylar Diggins shooting foul (Sophie Cunningham draws the foul)
foul_committed,Natasha,shootingfoul,Natasha Howard shooting foul (Gabby Williams draws the foul)
foul_committed,Ezi,personalfoul,Ezi Magbegor personal foul (Kelsey Mitchell draws the foul)
rebound,Storm,rebound,Storm defensive rebound
rebound,Storm,rebound,Storm offensive rebound
foul_committed,Nneka,shootingfoul,Nneka Ogwumike shooting foul (Aliyah Boston draws the foul)
foul_committed,Damiris,shootingfoul,Damiris Dantas shooting foul (Ezi Magbegor draws the foul)
rebound,Storm,rebound,Storm defensive rebound
foul_committed,Lexie,shootingfoul,Lexie Hull shooting foul (Nneka Ogwumike draws the foul)
foul_committed,Lexie,personalfoul,Lexie Hull personal foul (Skylar Diggins draws the foul)
foul_committed,Natasha,shootingfoul,Natasha Howard shooting foul (Nneka Ogwumike draws the foul)
foul_committed,Kelsey,personalfoul,Kelsey Mitchell personal foul (Alysha Clark draws the foul)
foul_committed,Alysha,offensivefoul,Alysha Clark offensive foul (Sydney Colson draws the foul)
foul_committed,Nneka,personalfoul,Nneka Ogwumike personal foul (Aliyah Boston draws the foul)
foul_committed,Erica,personalfoul,Erica Wheeler personal foul (Sydney Colson draws the foul)
foul_committed,Ezi,shootingfoul,Ezi Magbegor shooting foul (Kelsey Mitchell draws the foul)
foul_committed,Damiris,personalfoul,Damiris Dantas personal foul (Erica Wheeler draws the foul)
rebound,Storm,rebound,Storm offensive rebound
rebound,Fever,rebound,Fever defensive rebound
rebound,Fever,rebound,Fever offensive rebound
foul_committed,Zia,personalfoul,Zia Cooke personal foul (Lexie Hull draws the foul)
rebound,Storm,rebound,Storm offensive rebound
foul_committed,Brianna,personalfoul,Brianna Turner personal foul (Loose ball) (Dominique Malonga draws the foul)
foul_committed,Lexie,personalfoul,Lexie Hull personal foul (Nneka Ogwumike draws the foul)
foul_committed,Skylar,personalfoul,Skylar Diggins personal foul (Kelsey Mitchell draws the foul)
foul_committed,Caitlin,shootingfoul,Caitlin Clark shooting foul (Skylar Diggins draws the foul)
rebound,Storm,rebound,Storm offensive rebound
foul_committed,Caitlin,shootingfoul,Caitlin Clark shooting foul (Erica Wheeler draws the foul)
rebound,Storm,rebound,Storm defensive rebound
rebound,Fever,rebound,Fever defensive rebound
foul_committed,Erica,personalfoul,Erica Wheeler personal foul (Caitlin Clark draws the foul)
rebound,Fever,rebound,Fever offensive rebound
turnover,Fever,turnover,Fever turnover (5-second violation)
foul_committed,Kelsey,personalfoul,Kelsey Mitchell personal foul (Skylar Diggins draws the foul)
foul_committed,Ezi,personalfoul,Ezi Magbegor personal foul (Aliyah Boston draws the foul)
foul_committed,Skylar,personalfoul,Skylar Diggins personal foul (Lexie Hull draws the foul)
rebound,Fever,rebound,Fever defensive rebound
foul_committed,Aliyah,personalfoul,Aliyah Boston personal foul (Jackie Young draws the foul)
foul_committed,Chelsea,personalfoul,Chelsea Gray personal foul (Natasha Howard draws the foul)
turnover,Aces,turnover,Aces turnover (shot clock violation)
foul_committed,Lexie,personalfoul,Lexie Hull personal foul (Jackie Young draws the foul)
rebound,Aces,rebound,Aces offensive rebound
turnover,Aces,turnover,Aces turnover (shot clock violation)
foul_committed,A'ja,personalfoul,A'ja Wilson personal foul (Aari McDonald draws the foul)
foul_committed,NaLyssa,shootingfoul,NaLyssa Smith shooting foul (Kelsey Mitchell draws the foul)
foul_committed,Aari,personalfoul,Aari McDonald personal foul (Jackie Young draws the foul)
foul_committed,Sydney,shootingfoul,Sydney Colson shooting foul (Jackie Young draws the foul)
rebound,Aces,rebound,Aces offensive rebound
foul_committed,Makayla,shootingfoul,Makayla Timpson shooting foul (A'ja Wilson draws the foul)
foul_committed,Kelsey,personalfoul,Kelsey Mitchell personal foul (A'ja Wilson draws the foul)
rebound,Aces,rebound,Aces offensive rebound
rebound,Fever,rebound,Fever defensive rebound
foul_committed,Chelsea,personalfoul,Chelsea Gray personal foul (Makayla Timpson draws the foul)
foul_committed,Jewell,offensivefoul,Jewell Loyd offensive foul (Sophie Cunningham draws the foul)
foul_committed,Aaliyah,shootingfoul,Aaliyah Nye shooting foul (Sydney Colson draws the foul)
rebound,Fever,rebound,Fever defensive rebound
foul_committed,Aliyah,shootingfoul,Aliyah Boston shooting foul (A'ja Wilson draws the foul)
rebound,Aces,rebound,Aces offensive rebound
rebound,Aces,rebound,Aces offensive rebound
foul_committed,Chelsea,offensivefoul,Chelsea Gray offensive foul (Kelsey Mitchell draws the foul)
foul_committed,A'ja,shootingfoul,A'ja Wilson shooting foul (Aliyah Boston draws the foul)
