season_year,player_id,clutch_fta,clutch_tov,fta,ftm,tov,tov_3_second_violation,tov_back_court_violation,tov_bad_pass,tov_double_dribble,tov_kicked_ball_violation,tov_lane_violation,tov_lost_ball,tov_offensive_foul,tov_out_of_bounds,tov_palming,tov_traveling,tov_turnover,team_id
2025,player_a_ja_wilson,24.0,3.0,290.0,248.0,89.0,2.0,1.0,25.0,1.0,0.0,0.0,16.0,16.0,23.0,0.0,5.0,0.0,LVA
2025,player_aaliyah_edwards,12.0,1.0,87.0,56.0,41.0,1.0,1.0,8.0,0.0,0.0,0.0,12.0,9.0,8.0,0.0,2.0,0.0,CON
2025,player_aaliyah_nye,4.0,2.0,17.0,14.0,27.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,3.0,7.0,0.0,0.0,0.0,LVA
2025,player_aari_mcdonald,10.0,1.0,51.0,40.0,46.0,0.0,0.0,22.0,0.0,0.0,0.0,5.0,4.0,11.0,0.0,2.0,2.0,IND
2025,player_aerial_powers,5.0,1.0,19.0,13.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,0.0,GSV
2025,player_alanna_smith,3.0,2.0,65.0,31.0,65.0,0.0,1.0,22.0,0.0,0.0,0.0,9.0,12.0,15.0,0.0,6.0,0.0,MIN
2025,player_alexis_prince,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,PHO
2025,player_alissa_pili,6.0,1.0,15.0,13.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,LAS
2025,player_aliyah_boston,10.0,1.0,147.0,112.0,81.0,1.0,0.0,20.0,0.0,0.0,0.0,11.0,25.0,16.0,0.0,8.0,0.0,IND
2025,player_allisha_gray,15.0,4.0,232.0,186.0,74.0,0.0,0.0,29.0,0.0,0.0,0.0,20.0,4.0,16.0,1.0,4.0,0.0,ATL
2025,player_alysha_clark,2.0,1.0,26.0,19.0,22.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,8.0,2.0,0.0,1.0,1.0,WAS
2025,player_alyssa_thomas,24.0,8.0,169.0,117.0,137.0,0.0,0.0,43.0,0.0,0.0,0.0,19.0,22.0,49.0,0.0,4.0,0.0,PHO
2025,player_amy_okonkwo,2.0,1.0,20.0,18.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,DAL
2025,player_aneesah_morrow,8.0,5.0,95.0,72.0,45.0,1.0,1.0,17.0,2.0,0.0,0.0,12.0,2.0,10.0,0.0,0.0,0.0,CON
2025,player_angel_reese,16.0,5.0,172.0,130.0,119.0,2.0,0.0,44.0,0.0,0.0,0.0,26.0,19.0,18.0,0.0,9.0,1.0,CHI
2025,player_ariel_atkins,8.0,4.0,93.0,80.0,84.0,0.0,1.0,50.0,0.0,0.0,0.0,10.0,8.0,13.0,0.0,2.0,0.0,CHI
2025,player_arike_ogunbowale,14.0,6.0,116.0,108.0,60.0,0.0,0.0,33.0,0.0,0.0,0.0,5.0,14.0,8.0,0.0,0.0,0.0,DAL
2025,player_aziaha_james,6.0,0.0,55.0,41.0,38.0,0.0,0.0,15.0,2.0,0.0,0.0,10.0,1.0,7.0,0.0,3.0,0.0,DAL
2025,player_azura_stevens,12.0,1.0,100.0,79.0,64.0,0.0,2.0,27.0,0.0,0.0,1.0,8.0,5.0,18.0,0.0,3.0,0.0,LAS
2025,player_breanna_stewart,18.0,5.0,202.0,169.0,61.0,0.0,2.0,20.0,0.0,0.0,0.0,17.0,7.0,11.0,0.0,4.0,0.0,NYL
2025,player_bree_hall,3.0,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,IND
2025,player_bria_hartley,14.0,1.0,92.0,71.0,69.0,0.0,1.0,29.0,1.0,0.0,0.0,11.0,7.0,16.0,0.0,4.0,0.0,CON
2025,player_brianna_turner,0.0,0.0,8.0,4.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,IND
2025,player_bridget_carleton,0.0,2.0,25.0,18.0,33.0,0.0,1.0,12.0,0.0,0.0,0.0,7.0,4.0,6.0,0.0,3.0,0.0,MIN
2025,player_brionna_jones,6.0,4.0,132.0,102.0,64.0,0.0,0.0,13.0,0.0,0.0,0.0,17.0,15.0,7.0,0.0,12.0,0.0,ATL
2025,player_brittney_griner,0.0,2.0,85.0,65.0,59.0,3.0,0.0,12.0,1.0,0.0,0.0,7.0,27.0,5.0,0.0,4.0,0.0,ATL
2025,player_brittney_sykes,29.0,6.0,219.0,171.0,100.0,0.0,0.0,44.0,1.0,0.0,0.0,16.0,5.0,29.0,0.0,4.0,1.0,SEA
2025,player_caitlin_clark,6.0,2.0,50.0,41.0,66.0,0.0,1.0,27.0,0.0,0.0,0.0,16.0,2.0,16.0,0.0,4.0,0.0,IND
2025,player_cameron_brink,2.0,0.0,21.0,16.0,25.0,0.0,0.0,6.0,0.0,0.0,0.0,7.0,8.0,3.0,0.0,1.0,0.0,LAS
2025,player_camryn_taylor,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,MIN
2025,player_carla_leite,7.0,1.0,99.0,83.0,57.0,0.0,1.0,29.0,0.0,0.0,0.0,8.0,1.0,14.0,0.0,3.0,1.0,GSV
2025,player_cecilia_zandalasini,2.0,1.0,32.0,28.0,25.0,0.0,0.0,9.0,0.0,0.0,0.0,11.0,1.0,3.0,0.0,1.0,0.0,GSV
2025,player_chelsea_gray,8.0,6.0,104.0,92.0,125.0,0.0,0.0,59.0,1.0,0.0,0.0,15.0,8.0,39.0,0.0,3.0,0.0,LVA
2025,player_cheyenne_parker_tyus,2.0,0.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LVA
2025,player_chloe_bibby,0.0,1.0,9.0,8.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,GSV
2025,player_christyn_williams,2.0,0.0,6.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL
2025,player_courtney_vandersloot,0.0,1.0,13.0,11.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,1.0,CHI
2025,player_courtney_williams,4.0,5.0,53.0,45.0,102.0,0.0,2.0,53.0,1.0,0.0,0.0,13.0,4.0,27.0,0.0,2.0,0.0,MIN
