season_year,player_id,clutch_pf_committed,clutch_pf_drawn,pf_committed,pf_drawn,team_id
2025,player_a_ja_wilson,3.0,17.0,77.0,268.0,LVA
2025,player_aaliyah_edwards,0.0,5.0,56.0,73.0,CON
2025,player_aaliyah_nye,4.0,2.0,57.0,18.0,LVA
2025,player_aari_mcdonald,2.0,5.0,49.0,53.0,IND
2025,player_aerial_powers,0.0,3.0,18.0,20.0,GSV
2025,player_ajae_petty,0.0,0.0,1.0,0.0,DAL
2025,player_alanna_smith,3.0,3.0,116.0,85.0,MIN
2025,player_alexis_prince,0.0,0.0,1.0,0.0,PHO
2025,player_alissa_pili,2.0,3.0,13.0,10.0,LAS
2025,player_aliyah_boston,6.0,5.0,136.0,177.0,IND
2025,player_allisha_gray,8.0,12.0,112.0,171.0,ATL
2025,player_alysha_clark,7.0,2.0,81.0,66.0,WAS
2025,player_alyssa_thomas,3.0,16.0,85.0,156.0,PHO
2025,player_amy_okonkwo,2.0,1.0,11.0,16.0,DAL
2025,player_aneesah_morrow,6.0,4.0,81.0,77.0,CON
2025,player_angel_reese,6.0,10.0,109.0,139.0,CHI
2025,player_ariel_atkins,13.0,6.0,103.0,124.0,CHI
2025,player_arike_ogunbowale,9.0,6.0,76.0,92.0,DAL
2025,player_aziaha_james,4.0,3.0,46.0,47.0,DAL
2025,player_azura_stevens,4.0,8.0,99.0,82.0,LAS
2025,player_breanna_stewart,4.0,10.0,59.0,159.0,NYL
2025,player_bree_hall,1.0,1.0,4.0,1.0,IND
2025,player_bria_hartley,3.0,9.0,97.0,83.0,CON
2025,player_brianna_turner,1.0,0.0,23.0,8.0,IND
2025,player_bridget_carleton,4.0,1.0,83.0,53.0,MIN
2025,player_brionna_jones,6.0,4.0,107.0,141.0,ATL
2025,player_brittney_griner,2.0,1.0,78.0,93.0,ATL
2025,player_brittney_sykes,14.0,18.0,100.0,174.0,SEA
2025,player_caitlin_clark,4.0,4.0,36.0,57.0,IND
2025,player_cameron_brink,1.0,1.0,48.0,23.0,LAS
2025,player_camryn_taylor,2.0,0.0,4.0,2.0,MIN
2025,player_carla_leite,1.0,5.0,55.0,86.0,GSV
2025,player_cecilia_zandalasini,5.0,1.0,34.0,29.0,GSV
2025,player_chelsea_gray,8.0,4.0,89.0,81.0,LVA
2025,player_cheyenne_parker_tyus,0.0,1.0,2.0,3.0,LVA
2025,player_chloe_bibby,1.0,1.0,13.0,9.0,GSV
2025,player_christyn_williams,1.0,1.0,4.0,4.0,DAL
2025,player_courtney_vandersloot,0.0,0.0,13.0,15.0,CHI
2025,player_courtney_williams,4.0,5.0,86.0,61.0,MIN
2025,player_crystal_bradford,0.0,0.0,3.0,1.0,LVA
2025,player_damiris_dantas,4.0,0.0,57.0,29.0,IND
2025,player_dana_evans,2.0,4.0,58.0,44.0,LVA
2025,player_dearica_hamby,10.0,14.0,119.0,211.0,LAS
2025,player_dewanna_bonner,6.0,7.0,46.0,67.0,IND
2025,player_diamond_miller,2.0,2.0,67.0,33.0,DAL
2025,player_dijonai_carrington,11.0,3.0,76.0,81.0,MIN
2025,player_dominique_malonga,4.0,3.0,87.0,48.0,SEA
2025,player_elizabeth_kitley,0.0,0.0,18.0,6.0,LVA
2025,player_elizabeth_williams,6.0,1.0,62.0,82.0,CHI
2025,player_emily_engstler,3.0,4.0,52.0,29.0,WAS
2025,player_emma_cannon,1.0,2.0,36.0,21.0,LAS
2025,player_emma_meesseman,2.0,1.0,26.0,41.0,NYL
2025,player_erica_wheeler,16.0,5.0,114.0,82.0,SEA
2025,player_ezi_magbegor,9.0,2.0,127.0,71.0,SEA
2025,player_gabby_williams,9.0,9.0,67.0,73.0,SEA
2025,player_grace_berger,4.0,0.0,37.0,19.0,LAS
2025,player_hailey_van_lith,1.0,3.0,22.0,32.0,CHI
2025,player_haley_jones,3.0,1.0,63.0,31.0,PHO
2025,player_haley_peters,1.0,1.0,51.0,23.0,CON
2025,player_iliana_rupert,0.0,0.0,48.0,22.0,GSV
2025,player_isabelle_harrison,3.0,2.0,44.0,31.0,NYL
2025,player_jackie_young,11.0,13.0,106.0,119.0,LVA
2025,player_jacy_sheldon,3.0,2.0,72.0,28.0,WAS
2025,player_jade_melbourne,11.0,7.0,101.0,79.0,WAS
2025,player_jaelyn_brown,1.0,0.0,17.0,5.0,CON
2025,player_janelle_sala_n,3.0,4.0,69.0,75.0,GSV
2025,player_jaylyn_sherrod,5.0,5.0,19.0,18.0,MIN
2025,player_jessica_shepard,2.0,4.0,44.0,83.0,MIN
2025,player_jewell_loyd,3.0,3.0,85.0,87.0,LVA
2025,player_jj_quinerly,4.0,5.0,70.0,54.0,DAL
2025,player_jonquel_jones,2.0,2.0,81.0,95.0,NYL
2025,player_jordin_canada,1.0,8.0,47.0,77.0,ATL
2025,player_joyner_holmes,0.0,0.0,5.0,0.0,LVA
2025,player_julie_allemand,5.0,1.0,55.0,17.0,LAS
2025,player_julie_vanloo,3.0,2.0,45.0,22.0,GSV
2025,player_kahleah_copper,4.0,5.0,75.0,77.0,PHO
2025,player_kaila_charles,9.0,4.0,69.0,45.0,DAL
2025,player_kaitlyn_chen,0.0,2.0,17.0,9.0,GSV
2025,player_kalani_brown,3.0,1.0,46.0,26.0,PHO
2025,player_kamilla_cardoso,3.0,2.0,112.0,118.0,CHI
2025,player_kariata_diaby,1.0,2.0,19.0,12.0,CON
2025,player_karlie_samuelson,1.0,1.0,26.0,20.0,MIN
2025,player_kate_martin,3.0,1.0,48.0,28.0,GSV
2025,player_kathryn_westbeld,5.0,1.0,66.0,21.0,PHO
2025,player_kayla_mcbride,4.0,17.0,56.0,82.0,MIN
2025,player_kayla_thornton,7.0,7.0,53.0,54.0,GSV
2025,player_kelsey_mitchell,5.0,14.0,91.0,160.0,IND
2025,player_kelsey_plum,13.0,25.0,121.0,211.0,LAS
2025,player_kennedy_burke,2.0,2.0,47.0,47.0,NYL
2025,player_kia_nurse,5.0,4.0,74.0,76.0,CHI
2025,player_kiah_stokes,3.0,0.0,47.0,14.0,LVA
2025,player_kiana_williams,1.0,2.0,6.0,4.0,PHO
2025,player_kierstan_bell,0.0,2.0,31.0,13.0,LVA
2025,player_kiki_iriafen,7.0,4.0,127.0,144.0,WAS
2025,player_kitija_laksa,2.0,1.0,48.0,31.0,PHO
2025,player_kyara_linskens,0.0,0.0,7.0,1.0,GSV
2025,player_laeticia_amihere,1.0,4.0,36.0,44.0,GSV
2025,player_le_la_lacan,4.0,9.0,83.0,42.0,CON
2025,player_leonie_fiebich,8.0,5.0,90.0,62.0,NYL
2025,player_lexi_held,5.0,2.0,37.0,31.0,PHO
2025,player_lexie_brown,2.0,1.0,20.0,6.0,SEA
2025,player_lexie_hull,14.0,2.0,122.0,72.0,IND
2025,player_li_yueru,3.0,1.0,57.0,64.0,SEA
2025,player_liatu_king,3.0,0.0,14.0,9.0,DAL
2025,player_lindsay_allen,2.0,0.0,38.0,32.0,CON
2025,player_lucy_olsen,1.0,2.0,45.0,22.0,WAS
2025,player_luisa_geiselsoder,2.0,1.0,68.0,15.0,DAL
2025,player_mackenzie_holmes,2.0,2.0,7.0,2.0,SEA
2025,player_maddy_siegrist,4.0,0.0,50.0,39.0,DAL
2025,player_maddy_westbeld,0.0,2.0,41.0,13.0,CHI
2025,player_madison_scott,1.0,2.0,8.0,3.0,WAS
2025,player_makayla_timpson,2.0,3.0,24.0,25.0,IND
2025,player_mamignan_tour,1.0,0.0,19.0,1.0,CON
2025,player_mari_me_badiane,0.0,0.0,6.0,0.0,MIN
2025,player_maria_kliundikova,8.0,1.0,47.0,21.0,MIN
2025,player_marina_mabrey,4.0,6.0,104.0,128.0,CON
2025,player_marine_johannes,2.0,0.0,46.0,20.0,NYL
2025,player_marquesha_davis,1.0,2.0,3.0,5.0,CHI
2025,player_maya_caldwell,4.0,1.0,65.0,26.0,ATL
2025,player_megan_gustafson,4.0,0.0,42.0,14.0,LVA
2025,player_megan_mcconnell,0.0,1.0,1.0,2.0,PHO
2025,player_mercedes_russell,0.0,0.0,17.0,8.0,LAS
2025,player_michaela_onyenwere,8.0,1.0,76.0,41.0,CHI
2025,player_monique_akoa_makani,9.0,5.0,102.0,56.0,PHO
2025,player_monique_billings,2.0,1.0,44.0,50.0,GSV
2025,player_moriah_jefferson,0.0,0.0,3.0,0.0,CHI
2025,player_murjanatu_musa,0.0,0.0,17.0,13.0,PHO
2025,player_myisha_hines_allen,5.0,8.0,101.0,69.0,DAL
2025,player_nalyssa_smith,5.0,4.0,133.0,98.0,DAL
2025,player_napheesa_collier,3.0,13.0,80.0,185.0,MIN
2025,player_natasha_cloud,12.0,4.0,125.0,58.0,NYL
2025,player_natasha_howard,7.0,2.0,118.0,112.0,IND
2025,player_natasha_mack,2.0,0.0,55.0,31.0,PHO
2025,player_natisha_hiedeman,7.0,4.0,71.0,57.0,MIN
2025,player_naz_hillmon,6.0,3.0,74.0,43.0,ATL
2025,player_nia_coffey,3.0,3.0,47.0,37.0,ATL
2025,player_nneka_ogwumike,1.0,6.0,84.0,150.0,SEA
2025,player_nyara_sabally,3.0,3.0,36.0,24.0,NYL
2025,player_odyssey_sims,4.0,2.0,49.0,67.0,LAS
2025,player_olivia_nelson_ododa,5.0,5.0,90.0,101.0,CON
2025,player_paige_bueckers,8.0,7.0,83.0,169.0,DAL
2025,player_rachel_banham,6.0,5.0,83.0,44.0,CHI
2025,player_rae_burrell,3.0,6.0,37.0,52.0,LAS
2025,player_rayah_marshall,2.0,2.0,12.0,7.0,CON
2025,player_rebecca_allen,1.0,0.0,64.0,29.0,CHI
2025,player_rebekah_gardner,4.0,0.0,63.0,24.0,NYL
2025,player_rhyne_howard,9.0,13.0,99.0,117.0,ATL
2025,player_rickea_jackson,9.0,5.0,74.0,80.0,LAS
2025,player_robyn_parks,1.0,0.0,7.0,1.0,CON
2025,player_sabrina_ionescu,10.0,16.0,65.0,147.0,NYL
2025,player_sami_whitcomb,5.0,7.0,90.0,55.0,PHO
2025,player_sania_feagin,4.0,0.0,16.0,1.0,LAS
2025,player_saniya_rivers,6.0,9.0,70.0,58.0,CON
2025,player_sarah_ashlee_barker,3.0,2.0,45.0,25.0,LAS
2025,player_satou_sabally,12.0,14.0,115.0,157.0,PHO
2025,player_serena_sundell,0.0,0.0,4.0,1.0,DAL
2025,player_sevgi_uzun,5.0,1.0,37.0,24.0,PHO
2025,player_shakira_austin,4.0,9.0,86.0,121.0,WAS
2025,player_shatori_walker_kimbrough,0.0,0.0,24.0,11.0,ATL
2025,player_shey_peddy,0.0,3.0,20.0,12.0,LAS
2025,player_sika_kon,2.0,5.0,12.0,11.0,ATL
2025,player_skylar_diggins,10.0,18.0,103.0,153.0,SEA
2025,player_sonia_citron,8.0,11.0,93.0,170.0,WAS
2025,player_sophie_cunningham,7.0,4.0,64.0,58.0,IND
2025,player_stefanie_dolson,1.0,0.0,98.0,30.0,WAS
2025,player_stephanie_talbot,5.0,1.0,43.0,24.0,NYL
2025,player_sug_sutton,2.0,5.0,58.0,54.0,WAS
2025,player_sydney_colson,4.0,1.0,34.0,12.0,IND
2025,player_taylor_thierry,0.0,2.0,1.0,3.0,ATL
2025,player_te_hina_paopao,2.0,0.0,48.0,26.0,ATL
2025,player_teaira_mccowan,1.0,0.0,24.0,29.0,DAL
2025,player_temi_fagbenle,7.0,3.0,119.0,60.0,GSV
2025,player_tiffany_hayes,3.0,9.0,60.0,78.0,GSV
2025,player_tiffany_mitchell,2.0,2.0,52.0,53.0,LVA
2025,player_tina_charles,5.0,8.0,91.0,146.0,CON
2025,player_tyasha_harris,1.0,0.0,5.0,2.0,DAL
2025,player_veronica_burton,16.0,19.0,100.0,189.0,GSV
2025,player_yvonne_anderson,0.0,0.0,3.0,1.0,MIN
2025,player_zia_cooke,1.0,0.0,25.0,17.0,SEA
