season_year,player_id,ast_clutch,ast_non_clutch,fga_clutch,fga_non_clutch,fgm_clutch,fgm_non_clutch,fta_clutch,fta_non_clutch,three_pa_clutch,three_pa_non_clutch,tov_clutch,tov_non_clutch,ast_lead_10plus,ast_lead_1_3,ast_lead_4_9,ast_tied,ast_trail_10plus,ast_trail_1_3,ast_trail_4_9,fga_lead_10plus,fga_lead_1_3,fga_lead_4_9,fga_tied,fga_trail_10plus,fga_trail_1_3,fga_trail_4_9,fta_lead_10plus,fta_lead_1_3,fta_lead_4_9,fta_tied,fta_trail_10plus,fta_trail_1_3,fta_trail_4_9,three_pa_lead_10plus,three_pa_lead_1_3,three_pa_lead_4_9,three_pa_tied,three_pa_trail_10plus,three_pa_trail_1_3,three_pa_trail_4_9,tov_lead_10plus,tov_lead_1_3,tov_lead_4_9,tov_tied,tov_trail_10plus,tov_trail_1_3,tov_trail_4_9,ast_q1,ast_q2,ast_q3,ast_q4,fga_q1,fga_q2,fga_q3,fga_q4,three_pa_q1,three_pa_q2,three_pa_q3,three_pa_q4,tov_q1,tov_q2,tov_q3,tov_q4,minutes_est,ast_clutch_per36,ast_non_clutch_per36,fga_clutch_per36,fga_non_clutch_per36,fta_clutch_per36,fta_non_clutch_per36,three_pa_clutch_per36,three_pa_non_clutch_per36,tov_clutch_per36,tov_non_clutch_per36,ast_lead_10plus_per36,ast_lead_1_3_per36,ast_lead_4_9_per36,ast_tied_per36,ast_trail_10plus_per36,ast_trail_1_3_per36,ast_trail_4_9_per36,fga_lead_10plus_per36,fga_lead_1_3_per36,fga_lead_4_9_per36,fga_tied_per36,fga_trail_10plus_per36,fga_trail_1_3_per36,fga_trail_4_9_per36,fta_lead_10plus_per36,fta_lead_1_3_per36,fta_lead_4_9_per36,fta_tied_per36,fta_trail_10plus_per36,fta_trail_1_3_per36,fta_trail_4_9_per36,three_pa_lead_10plus_per36,three_pa_lead_1_3_per36,three_pa_lead_4_9_per36,three_pa_tied_per36,three_pa_trail_10plus_per36,three_pa_trail_1_3_per36,three_pa_trail_4_9_per36,tov_lead_10plus_per36,tov_lead_1_3_per36,tov_lead_4_9_per36,tov_tied_per36,tov_trail_10plus_per36,tov_trail_1_3_per36,tov_trail_4_9_per36,ast_q1_per36,ast_q2_per36,ast_q3_per36,ast_q4_per36,fga_q1_per36,fga_q2_per36,fga_q3_per36,fga_q4_per36,three_pa_q1_per36,three_pa_q2_per36,three_pa_q3_per36,three_pa_q4_per36,tov_q1_per36,tov_q2_per36,tov_q3_per36,tov_q4_per36
2025,player_a_ja_wilson,7,117,21,610,14,320,24,266,1,60,3,86,19,21,29,8,18,19,10,130,92,90,30,101,71,117,73,34,48,9,36,30,60,14,7,4,1,15,6,14,13,10,11,7,15,12,21,53,29,22,20,192,172,167,100,14,20,20,7,22,23,31,13,1247.0,0.2020850040096231,3.3777064955894147,0.6062550120288692,17.6102646351243,0.6928628708901363,7.679230152365678,0.028869286287089013,1.7321571772253408,0.08660785886126704,2.4827586206896552,0.5485164394546913,0.6062550120288692,0.8372093023255813,0.2309542902967121,0.5196471531676022,0.5485164394546913,0.28869286287089013,3.7530072173215716,2.6559743384121894,2.598235765838011,0.8660785886126704,2.9157979149959905,2.04971932638332,3.3777064955894147,2.107457898957498,0.9815557337610264,1.3857257417802726,0.2598235765838011,1.0392943063352045,0.8660785886126704,1.7321571772253408,0.4041700080192462,0.2020850040096231,0.11547714514835605,0.028869286287089013,0.4330392943063352,0.17321571772253408,0.4041700080192462,0.37530072173215717,0.28869286287089013,0.31756214915797915,0.2020850040096231,0.4330392943063352,0.34643143544506816,0.6062550120288692,1.5300721732157176,0.8372093023255813,0.6351242983159583,0.5773857257417803,5.5429029671210905,4.9655172413793105,4.821170809943865,2.886928628708901,0.4041700080192462,0.5773857257417803,0.5773857257417803,0.2020850040096231,0.6351242983159583,0.6639935846030474,0.8949478748997595,0.37530072173215717
2025,player_aaliyah_edwards,0,20,8,130,4,65,12,75,1,8,1,40,7,1,2,0,5,3,2,35,17,30,3,26,9,18,34,5,15,1,16,7,9,2,0,4,0,3,0,0,14,3,10,0,3,7,4,3,3,6,8,28,38,37,35,3,1,3,2,10,15,7,9,533.988,0.0,1.3483449066271151,0.539337962650846,8.764241893076248,0.809006943976269,5.056293399851682,0.06741724533135575,0.539337962650846,0.06741724533135575,2.6966898132542303,0.4719207173194903,0.06741724533135575,0.1348344906627115,0.0,0.3370862266567788,0.20225173599406726,0.1348344906627115,2.3596035865974514,1.146093170633048,2.0225173599406725,0.20225173599406726,1.7528483786152496,0.6067552079822017,1.2135104159644035,2.292186341266096,0.3370862266567788,1.0112586799703362,0.06741724533135575,1.078675925301692,0.4719207173194903,0.6067552079822017,0.1348344906627115,0.0,0.269668981325423,0.0,0.20225173599406726,0.0,0.0,0.9438414346389806,0.20225173599406726,0.6741724533135576,0.0,0.20225173599406726,0.4719207173194903,0.269668981325423,0.20225173599406726,0.20225173599406726,0.4045034719881345,0.539337962650846,1.8876828692779613,2.561855322591519,2.494438077260163,2.3596035865974514,0.20225173599406726,0.06741724533135575,0.20225173599406726,0.1348344906627115,0.6741724533135576,1.0112586799703362,0.4719207173194903,0.6067552079822017
2025,player_aaliyah_nye,0,24,14,147,2,57,4,13,10,103,2,25,10,1,1,3,5,2,2,36,16,25,7,39,17,21,7,2,0,0,4,2,2,26,9,16,4,31,10,17,5,1,7,1,8,1,4,4,10,5,5,27,37,31,66,17,27,18,51,4,6,7,10,671.0,0.0,1.2876304023845007,0.7511177347242921,7.886736214605067,0.21460506706408344,0.6974664679582712,0.5365126676602087,5.526080476900149,0.10730253353204172,1.3412816691505216,0.5365126676602087,0.05365126676602086,0.05365126676602086,0.16095380029806258,0.26825633383010433,0.10730253353204172,0.10730253353204172,1.9314456035767513,0.8584202682563338,1.3412816691505216,0.37555886736214605,2.092399403874814,0.9120715350223547,1.1266766020864383,0.37555886736214605,0.10730253353204172,0.0,0.0,0.21460506706408344,0.10730253353204172,0.10730253353204172,1.3949329359165423,0.48286140089418783,0.8584202682563338,0.21460506706408344,1.6631892697466468,0.5365126676602087,0.9120715350223547,0.26825633383010433,0.05365126676602086,0.37555886736214605,0.05365126676602086,0.4292101341281669,0.05365126676602086,0.21460506706408344,0.21460506706408344,0.5365126676602087,0.26825633383010433,0.26825633383010433,1.4485842026825633,1.985096870342772,1.6631892697466468,3.540983606557377,0.9120715350223547,1.4485842026825633,0.9657228017883757,2.736214605067064,0.21460506706408344,0.32190760059612517,0.37555886736214605,0.5365126676602087
2025,player_aari_mcdonald,7,87,10,138,5,61,10,41,5,72,1,45,22,12,16,6,11,9,18,28,23,24,8,20,22,23,14,2,15,2,6,4,8,16,17,9,4,11,12,8,8,5,8,2,5,9,9,23,21,23,27,42,38,28,40,24,16,17,20,7,15,14,10,525.0,0.48000000000000004,5.965714285714285,0.6857142857142857,9.462857142857143,0.6857142857142857,2.8114285714285714,0.34285714285714286,4.937142857142858,0.06857142857142857,3.085714285714286,1.5085714285714285,0.8228571428571428,1.0971428571428572,0.4114285714285714,0.7542857142857142,0.6171428571428572,1.2342857142857144,1.9200000000000002,1.5771428571428572,1.6457142857142857,0.5485714285714286,1.3714285714285714,1.5085714285714285,1.5771428571428572,0.9600000000000001,0.13714285714285715,1.0285714285714285,0.13714285714285715,0.4114285714285714,0.2742857142857143,0.5485714285714286,1.0971428571428572,1.1657142857142857,0.6171428571428572,0.2742857142857143,0.7542857142857142,0.8228571428571428,0.5485714285714286,0.5485714285714286,0.34285714285714286,0.5485714285714286,0.13714285714285715,0.34285714285714286,0.6171428571428572,0.6171428571428572,1.5771428571428572,1.44,1.5771428571428572,1.8514285714285714,2.88,2.605714285714286,1.9200000000000002,2.742857142857143,1.6457142857142857,1.0971428571428572,1.1657142857142857,1.3714285714285714,0.48000000000000004,1.0285714285714285,0.9600000000000001,0.6857142857142857
2025,player_aerial_powers,4,16,3,56,3,24,5,14,0,18,1,10,9,5,2,0,1,2,1,29,6,14,0,2,3,5,10,0,4,0,2,0,3,6,1,5,0,2,2,2,7,1,0,0,1,0,2,3,7,2,8,10,16,13,20,4,4,6,4,1,4,3,3,167.0,0.8622754491017964,3.4491017964071857,0.6467065868263473,12.071856287425149,1.0778443113772456,3.0179640718562872,0.0,3.8802395209580838,0.2155688622754491,2.155688622754491,1.9401197604790419,1.0778443113772456,0.4311377245508982,0.0,0.2155688622754491,0.4311377245508982,0.2155688622754491,6.251497005988024,1.2934131736526946,3.0179640718562872,0.0,0.4311377245508982,0.6467065868263473,1.0778443113772456,2.155688622754491,0.0,0.8622754491017964,0.0,0.4311377245508982,0.0,0.6467065868263473,1.2934131736526946,0.2155688622754491,1.0778443113772456,0.0,0.4311377245508982,0.4311377245508982,0.4311377245508982,1.5089820359281436,0.2155688622754491,0.0,0.0,0.2155688622754491,0.0,0.4311377245508982,0.6467065868263473,1.5089820359281436,0.4311377245508982,1.7245508982035929,2.155688622754491,3.4491017964071857,2.8023952095808387,4.311377245508982,0.8622754491017964,0.8622754491017964,1.2934131736526946,0.8622754491017964,0.2155688622754491,0.8622754491017964,0.6467065868263473,0.6467065868263473
2025,player_ajae_petty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,player_alanna_smith,3,118,10,309,4,156,3,62,3,157,2,63,25,18,27,6,10,18,17,46,48,76,28,30,36,55,19,10,14,4,8,5,5,23,20,43,11,17,19,27,15,11,11,2,6,9,11,28,31,38,24,109,64,89,57,54,33,46,27,20,18,14,13,1114.008,0.09694723915806708,3.8132580735506387,0.3231574638602236,9.98556563328091,0.09694723915806708,2.0035762759333866,0.09694723915806708,5.073572182605511,0.06463149277204473,2.035892022319409,0.807893659650559,0.5816834349484025,0.8725251524226036,0.19389447831613416,0.3231574638602236,0.5816834349484025,0.5493676885623802,1.4865243337570284,1.5511558265290732,2.455996725337699,0.9048408988086261,0.9694723915806709,1.163366869896805,1.7773660512312297,0.6139991813344248,0.3231574638602236,0.45242044940431303,0.12926298554408946,0.25852597108817893,0.1615787319301118,0.1615787319301118,0.7432621668785142,0.6463149277204472,1.3895770945989614,0.35547321024624595,0.5493676885623802,0.6139991813344248,0.8725251524226036,0.48473619579033544,0.35547321024624595,0.35547321024624595,0.06463149277204473,0.19389447831613416,0.29084171747420123,0.35547321024624595,0.9048408988086261,1.0017881379666933,1.2279983626688495,0.7755779132645366,3.522416356076437,2.0682077687054314,2.87610142835599,1.8419975440032745,1.7450503048452073,1.066419630738738,1.4865243337570284,0.8725251524226036,0.6463149277204472,0.5816834349484025,0.45242044940431303,0.42010470301829067
2025,player_alexis_prince,0,1,2,1,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,2,0,22.0,0.0,1.6363636363636365,3.272727272727273,1.6363636363636365,0.0,0.0,0.0,1.6363636363636365,0.0,4.909090909090908,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,4.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,4.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,1.6363636363636365,0.0,0.0,3.272727272727273,1.6363636363636365,0.0,0.0,0.0,0.0,1.6363636363636365,3.272727272727273,0.0
2025,player_alissa_pili,1,2,2,23,0,13,6,9,2,10,1,7,1,0,0,0,2,0,0,12,0,3,0,7,2,1,8,1,2,1,1,2,0,7,0,2,0,1,2,0,3,0,0,0,3,1,1,0,0,1,2,2,5,5,13,1,3,2,6,0,2,0,6,99.009,0.36360330879011,0.72720661758022,0.72720661758022,8.36287610217253,2.18161985274066,3.2724297791109898,0.72720661758022,3.6360330879010996,0.36360330879011,2.5452231615307697,0.36360330879011,0.0,0.0,0.0,0.72720661758022,0.0,0.0,4.36323970548132,0.0,1.09080992637033,0.0,2.5452231615307697,0.72720661758022,0.36360330879011,2.90882647032088,0.36360330879011,0.72720661758022,0.36360330879011,0.36360330879011,0.72720661758022,0.0,2.5452231615307697,0.0,0.72720661758022,0.0,0.36360330879011,0.72720661758022,0.0,1.09080992637033,0.0,0.0,0.0,1.09080992637033,0.36360330879011,0.36360330879011,0.0,0.0,0.36360330879011,0.72720661758022,0.72720661758022,1.8180165439505498,1.8180165439505498,4.72684301427143,0.36360330879011,1.09080992637033,0.72720661758022,2.18161985274066,0.0,0.72720661758022,0.0,2.18161985274066
2025,player_aliyah_boston,6,159,20,452,10,265,10,137,2,31,1,80,20,21,42,12,15,20,35,93,61,88,36,52,68,74,33,20,30,6,22,17,19,10,1,4,0,7,6,5,15,9,14,6,8,13,16,62,29,40,34,136,113,107,116,7,12,9,5,26,19,22,14,1326.9959999999999,0.1627736632212908,4.313502075364207,0.5425788774043027,12.262282629337241,0.27128943870215133,3.7166653102194736,0.05425788774043027,0.8409972599766693,0.027128943870215135,2.1703155096172106,0.5425788774043027,0.5697078212745179,1.1394156425490358,0.3255473264425816,0.4069341580532271,0.5425788774043027,0.9495130354575297,2.522991779930008,1.6548655760831232,2.387347060578932,0.9766419793277449,1.410705081251187,1.8447681831746292,2.00754184639592,0.8952551477170995,0.5425788774043027,0.8138683161064542,0.1627736632212908,0.596836765144733,0.4611920457936573,0.5154499335340875,0.27128943870215133,0.027128943870215135,0.10851577548086054,0.0,0.18990260709150594,0.1627736632212908,0.13564471935107567,0.4069341580532271,0.24416049483193622,0.3798052141830119,0.1627736632212908,0.21703155096172108,0.35267627031279675,0.43406310192344216,1.6819945199533386,0.7867393722362389,1.0851577548086053,0.9223840915873146,3.6895363663492584,3.0655706573343102,2.9027969941130194,3.1469574889449556,0.18990260709150594,0.3255473264425816,0.24416049483193622,0.13564471935107567,0.7053525406255935,0.5154499335340875,0.596836765144733,0.3798052141830119
