event_type,description
technicalfoul,Stephanie White technical foul
technicalfoul,Becky Hammon technical foul
technicalfoul,Sandy Brondello technical foul
technicalfoulnonunsportsmanlike,Sparks technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sparks technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Mercury technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Wings technical foul (Defensive three second)
technicalfoul,Chris Koclanes technical foul
technicalfoul,Tyler Marsh technical foul
technicalfoulnonunsportsmanlike,Valkyries technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Valkyries technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sun technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Mercury technical foul (Defensive three second)
technicalfoul,Stephanie White technical foul
technicalfoul,Tyler Marsh technical foul
technicalfoulnonunsportsmanlike,Valkyries technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Fever technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sun technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sun technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Wings technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sparks technical foul (Defensive three second)
technicalfoul,Cheryl Reeve technical foul
technicalfoulnonunsportsmanlike,Dream technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Lynx technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Mystics technical foul (Defensive three second)
technicalfoul,Lynne Roberts technical foul
technicalfoul,Chris Koclanes technical foul
technicalfoulnonunsportsmanlike,Mercury technical foul (Defensive three second)
technicalfoul,Becky Hammon technical foul
technicalfoul,Stephanie White technical foul
technicalfoulnonunsportsmanlike,Sparks technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sky technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Fever technical foul (Defensive three second)
technicalfoul,Stephanie White technical foul
technicalfoulnonunsportsmanlike,Valkyries technical foul (Defensive three second)
technicalfoulnonunsportsmanlike,Sky technical foul (Defensive three second)
