game_id,event_type,bucket,description
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Lexie Hull shooting foul (Gabby Williams draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Natasha Howard shooting foul (Gabby Williams draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Gabby Williams shooting foul (Aliyah Boston draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Natasha Howard personal foul (Skylar Diggins draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Ezi Magbegor personal foul (Aliyah Boston draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Aliyah Boston shooting foul (Ezi Magbegor draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Gabby Williams personal foul (Damiris Dantas draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Skylar Diggins shooting foul (Damiris Dantas draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Sophie Cunningham personal foul (Alysha Clark draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Zia Cooke personal foul (Kelsey Mitchell draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Damiris Dantas personal foul (Dominique Malonga draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Zia Cooke personal foul (Kelsey Mitchell draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,offensivefoul,foul,Erica Wheeler offensive foul (Kelsey Mitchell draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Kelsey Mitchell personal foul (Erica Wheeler draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,offensivefoul,foul,Damiris Dantas offensive foul (Alysha Clark draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Erica Wheeler personal foul (Caitlin Clark draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Skylar Diggins shooting foul (Sophie Cunningham draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Natasha Howard shooting foul (Gabby Williams draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Ezi Magbegor personal foul (Kelsey Mitchell draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Nneka Ogwumike shooting foul (Aliyah Boston draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Damiris Dantas shooting foul (Ezi Magbegor draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Lexie Hull shooting foul (Nneka Ogwumike draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Lexie Hull personal foul (Skylar Diggins draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,shootingfoul,foul,Natasha Howard shooting foul (Nneka Ogwumike draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,personalfoul,foul,Kelsey Mitchell personal foul (Alysha Clark draws the foul)
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,offensivefoul,foul,Alysha Clark offensive foul (Sydney Colson draws the foul)
