playerId,playerName,teamId,pos,seasonKey,heightIn,weightLb,age,phase1_g,phase1_mpg,phase1_starterFlag,phase1_usageProxyPer36,phase2shoot_fg,phase2shoot_fga,phase2shoot_fgPct,phase2shoot_fg3,phase2shoot_fg3a,phase2shoot_fg3Pct,phase2shoot_fg2,phase2shoot_fg2a,phase2shoot_fg2Pct,phase2shoot_ft,phase2shoot_fta,phase2shoot_ftPct,phase2shoot_pts,phase2imp_season,phase2imp_g,phase2imp_mp,phase2imp_onCourt_plusMinus_per100,phase2imp_onOff_plusMinus_per100,phase2imp_tov_badPass,phase2imp_tov_lostBall,phase2imp_tov_shoot,phase2imp_tov_offensiveFoulOrOther,phase2imp_foulsCommitted_shooting,phase2imp_foulsCommitted_offensive,phase2imp_misc_pga,phase2imp_misc_and1,phase2imp_misc_blkd,phase3_rim_fgm,phase3_rim_fga,phase3_paint_fgm,phase3_paint_fga,phase3_mid_fgm,phase3_mid_fga,phase3_corner3_fgm,phase3_corner3_fga,phase3_ab3_fgm,phase3_ab3_fga,phase3_three_fgm,phase3_three_fga,phase3_total_fgm,phase3_total_fga,phase3_rim_fg,phase3_paint_fg,phase3_mid_fg,phase3_corner3_fg,phase3_ab3_fg,phase3_three_fg,phase3_total_fg,phase3_rim_att_share,phase3_paint_att_share,phase3_mid_att_share,phase3_corner3_att_share,phase3_ab3_att_share,phase3_three_att_share,phase4_fga,phase4_fta,phase4_three_pa,phase4_tov,phase4_ast,phase4_reb,phase4_pf,phase4_stl,phase4_blk,phase4_clutch_fga,phase4_trans_fga,phase4_minutes_est,phase4_clutch_fga_share,phase4_trans_fga_share,season_year
player_monique_akoa_makani,Monique Akoa Makani,PHO,G,monique_akoa_makani|PHO,72,155.60000000000002,25,41,21.488,1.0,0.337,2.8,6.5,43.0,1.2,3.0,39.8,1.6,3.5,45.8,0.9,1.0,92.7,7.7,2025,41,881,9.7,12.1,40,11,37,3,16,19,248,4,7,23.0,43.0,18.0,43.0,24.0,56.0,10.0,28.0,39.0,94.0,49.0,122.0,114.0,264.0,0.5348837209302325,0.4186046511627907,0.4285714285714285,0.3571428571428571,0.4148936170212766,0.4016393442622951,0.4318181818181818,0.1628787878787878,0.1628787878787878,0.2121212121212121,0.106060606060606,0.3560606060606061,0.4621212121212121,265.0,41.0,123.0,55.0,111.0,91.0,161.0,32.0,10.0,19.0,47.0,1141.4166666666667,0.07169811320754717,0.17735849056603772,monique_akoa_makani|PHO
player_julie_allemand,Julie Allemand,LAS,G,julie_allemand|LAS,73,159.86,29,34,28.324,1.0,0.245,2.1,4.7,44.0,0.8,3.0,27.7,1.2,1.7,72.4,0.4,0.6,78.9,5.4,2025,34,963,2.8,13.0,38,12,37,0,6,0,410,3,1,37.0,48.0,3.0,6.0,2.0,4.0,1.0,12.0,27.0,89.0,28.0,101.0,70.0,159.0,0.7708333333333334,0.5,0.5,0.0833333333333333,0.3033707865168539,0.2772277227722772,0.440251572327044,0.3018867924528302,0.0377358490566037,0.0251572327044025,0.0754716981132075,0.559748427672956,0.6352201257861635,159.0,19.0,101.0,53.0,170.0,127.0,72.0,45.0,2.0,5.0,21.0,1466.1166666666666,0.031446540880503145,0.1320754716981132,julie_allemand|LAS
player_lindsay_allen,Lindsay Allen,CON,G,lindsay_allen|CON,71,152.38,30,31,14.516,,0.273,0.8,2.1,40.0,0.1,0.6,16.7,0.7,1.5,48.9,0.6,0.7,82.6,2.4,2025,31,450,-16.1,-4.2,24,6,15,0,9,13,138,1,2,12.0,18.0,6.0,21.0,5.0,8.0,0.0,2.0,3.0,16.0,3.0,18.0,26.0,65.0,0.6666666666666666,0.2857142857142857,0.625,0.0,0.1875,0.1666666666666666,0.4,0.2769230769230769,0.3230769230769231,0.123076923076923,0.0307692307692307,0.2461538461538461,0.2769230769230769,65.0,23.0,18.0,31.0,61.0,32.0,70.0,10.0,8.0,2.0,8.0,615.2166666666667,0.03076923076923077,0.12307692307692308,lindsay_allen|CON
player_rebecca_allen,Rebecca Allen,CHI,F-G,rebecca_allen|CHI,73,159.52,33,44,18.659,,0.294,1.9,5.5,34.2,1.0,3.0,31.8,0.9,2.5,37.0,0.4,0.7,61.3,5.1,2025,44,821,-14.7,-3.2,23,10,42,0,11,1,130,1,6,19.0,34.0,6.0,27.0,15.0,47.0,8.0,17.0,34.0,115.0,42.0,132.0,82.0,240.0,0.5588235294117647,0.2222222222222222,0.3191489361702128,0.4705882352941176,0.2956521739130435,0.3181818181818182,0.3416666666666667,0.1416666666666666,0.1125,0.1958333333333333,0.0708333333333333,0.4791666666666667,0.55,240.0,31.0,132.0,39.0,57.0,113.0,93.0,23.0,29.0,4.0,26.0,1119.9333333333334,0.016666666666666666,0.10833333333333334,rebecca_allen|CHI
player_laeticia_amihere,Laeticia Amihere,GSV,F,laeticia_amihere|GSV,72,156.60000000000002,24,29,13.276,,0.558,1.8,3.9,45.6,0.1,0.7,14.3,1.7,3.2,52.7,1.7,2.2,77.8,5.4,2025,29,385,-0.5,-3.0,5,13,19,7,27,2,71,3,14,34.0,51.0,14.0,40.0,1.0,2.0,1.0,6.0,2.0,14.0,3.0,20.0,52.0,113.0,0.6666666666666666,0.35,0.5,0.1666666666666666,0.1428571428571428,0.15,0.4601769911504424,0.4513274336283185,0.3539823008849557,0.0176991150442477,0.0530973451327433,0.1238938053097345,0.1769911504424778,114.0,63.0,21.0,32.0,27.0,125.0,88.0,17.0,27.0,5.0,10.0,539.9333333333334,0.043859649122807015,0.08771929824561403,laeticia_amihere|GSV
player_yvonne_anderson,Yvonne Anderson,MIN,G,yvonne_anderson|MIN,70,148.92,35,1,12.0,,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2025,1,12,64.9,52.9,0,0,1,0,0,0,6,0,0,0.0,0.0,0.0,1.0,0.0,1.0,,,0.0,1.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,yvonne_anderson|MIN
player_ariel_atkins,Ariel Atkins,CHI,G,ariel_atkins|CHI,73,159.96,29,34,28.529,1.0,0.534,4.8,10.7,44.4,1.3,3.5,36.1,3.5,7.2,48.4,2.4,2.7,86.0,13.1,2025,34,970,-8.1,10.9,62,11,34,8,38,30,273,8,17,22.0,45.0,45.0,86.0,52.0,115.0,7.0,14.0,36.0,104.0,43.0,118.0,162.0,364.0,0.4888888888888889,0.5232558139534884,0.4521739130434782,0.5,0.3461538461538461,0.3644067796610169,0.445054945054945,0.1236263736263736,0.2362637362637362,0.3159340659340659,0.0384615384615384,0.2857142857142857,0.3241758241758242,365.0,93.0,119.0,84.0,122.0,114.0,236.0,53.0,41.0,20.0,43.0,1325.2166666666667,0.0547945205479452,0.1178082191780822,ariel_atkins|CHI
player_shakira_austin,Shakira Austin,WAS,F-C,shakira_austin|WAS,76,172.88,25,38,23.0,1.0,0.613,5.0,10.8,46.5,0.1,0.4,13.3,5.0,10.4,47.7,2.6,3.8,66.4,12.7,2025,38,874,-7.0,-3.6,44,28,51,7,75,2,164,26,38,118.0,179.0,52.0,159.0,19.0,58.0,,,2.0,15.0,,,,,0.659217877094972,0.3270440251572327,0.3275862068965517,,0.1333333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,411.0,146.0,15.0,92.0,68.0,242.0,214.0,41.0,81.0,25.0,14.0,1262.6499999999999,0.06082725060827251,0.0340632603406326,shakira_austin|WAS
player_mari_me_badiane,Marième Badiane,MIN,C,mari_me_badiane|MIN,70,147.6,31,3,3.667,,5.564,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,,0.0,2025,3,11,-29.5,-42.2,1,0,2,1,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,,,,0.0,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,mari_me_badiane|MIN
player_rachel_banham,Rachel Banham,CHI,G,rachel_banham|CHI,71,151.96,32,44,24.568,1.0,0.329,2.9,7.7,38.2,2.0,5.5,35.7,1.0,2.2,44.3,1.2,1.3,88.1,9.0,2025,44,1081,-16.0,-7.8,53,12,43,3,16,6,268,0,10,9.0,19.0,13.0,29.0,21.0,49.0,7.0,17.0,79.0,224.0,86.0,241.0,129.0,338.0,0.4736842105263157,0.4482758620689655,0.4285714285714285,0.4117647058823529,0.3526785714285714,0.3568464730290456,0.3816568047337278,0.0562130177514792,0.0857988165680473,0.1449704142011834,0.0502958579881656,0.6627218934911243,0.7130177514792899,337.0,59.0,241.0,71.0,119.0,74.0,132.0,26.0,21.0,12.0,30.0,1495.1499999999999,0.03560830860534125,0.08902077151335312,rachel_banham|CHI
