,,,,,,,,+/- Per 100 Poss.,+/- Per 100 Poss.,,Turnovers,Turnovers,,Fouls Committed,Fouls Committed,,Fouls Drawn,Fouls Drawn,,Misc.,Misc.,Misc.
Player,Team,Pos,G,MP,G,MP,,OnCourt,On-Off,,BadPass,LostBall,,Shoot,Off.,,Shoot,Off.,,PGA,And1,Blkd
Maya Caldwell,ATL,G,41,760,41,760,,9.9,0.4,,23,11,,25,0,,10,6,,180,4,4
Jordin Canada,ATL,G,28,783,28,783,,13.7,7.4,,41,16,,17,1,,49,11,,374,10,14
Nia Coffey,ATL,F,44,455,44,455,,7.5,-2.9,,15,4,,24,4,,18,5,,107,2,15
Allisha Gray,ATL,G,42,1451,42,1451,,9.4,-1.3,,36,28,,43,4,,102,15,,350,22,32
Brittney Griner,ATL,C,39,810,39,810,,1.5,-15.1,,16,8,,25,27,,42,2,,90,9,10
Naz Hillmon,ATL,F,44,1122,44,1122,,14.5,13.3,,30,7,,30,7,,28,3,,255,3,14
Rhyne Howard,ATL,G,33,1151,33,1151,,9.8,0.6,,34,15,,49,3,,53,13,,357,12,11
Brionna Jones,ATL,F,44,1169,44,1169,,11.3,5.0,,17,20,,48,15,,62,1,,231,17,40
Te-Hina PaoPao,ATL,G,43,720,43,720,,10.1,0.9,,24,15,,33,0,,7,6,,256,1,8
Kamiah Smalls,ATL,G,3,3,3,3,,45.2,35.7,,0,0,,0,0,,0,0,,0,0,0
Taylor Thierry,ATL,G-F,17,36,17,36,,-9.3,-19.4,,0,1,,1,0,,2,0,,4,0,5
Shatori Walker-Kimbrough,ATL,G,41,354,41,354,,1.9,-9.8,,7,4,,13,2,,4,2,,53,0,4
Rebecca Allen,CHI,F-G,44,821,44,821,,-14.7,-3.2,,23,10,,42,0,,11,1,,130,1,6
Ariel Atkins,CHI,G,34,970,34,970,,-8.1,10.9,,62,11,,34,8,,38,30,,273,8,17
Rachel Banham,CHI,G,44,1081,44,1081,,-16.0,-7.8,,53,12,,43,3,,16,6,,268,0,10
Kamilla Cardoso,CHI,C,40,1102,40,1102,,-14.2,-3.3,,50,17,,65,17,,71,1,,217,14,42
Moriah Jefferson,CHI,G,5,35,5,35,,-36.9,-24.5,,1,1,,0,0,,0,0,,21,0,0
Kia Nurse,CHI,G,44,962,44,962,,-15.5,-5.7,,29,12,,30,8,,21,13,,133,1,17
Michaela Onyenwere,CHI,F,42,711,42,711,,-10.8,3.6,,21,17,,26,11,,23,5,,116,5,22
Angel Reese,CHI,F,30,947,30,947,,-9.6,7.5,,55,29,,37,19,,85,0,,251,26,60
Courtney Vandersloot,CHI,G,7,191,7,191,,-17.9,-5.6,,7,7,,8,0,,6,0,,86,2,8
Hailey Van Lith,CHI,G,29,361,29,361,,-12.6,0.4,,25,5,,10,1,,13,1,,107,2,9
Maddy Westbeld,CHI,F,26,354,26,354,,-17.1,-5.2,,8,4,,20,3,,7,0,,56,0,5
Elizabeth Williams,CHI,C-F,43,906,43,906,,-11.9,2.2,,30,14,,34,7,,37,5,,190,6,39
Lindsay Allen,CON,G,31,450,31,450,,-16.1,-4.2,,24,6,,15,0,,9,13,,138,1,2
Jaelyn Brown,CON,G-F,10,131,10,131,,-18.9,-6.3,,2,3,,10,0,,1,2,,2,0,0
Tina Charles,CON,C,43,1222,43,1222,,-17.2,-14.0,,36,24,,39,9,,90,2,,174,17,24
Kariata Diaby,CON,C,13,103,13,103,,-13.7,-0.8,,3,0,,2,6,,3,1,,12,1,4
Bria Hartley,CON,G,38,867,38,867,,-14.9,-3.7,,37,16,,30,7,,34,5,,259,2,24
Leïla Lacan,CON,G,25,665,25,665,,-1.5,18.4,,34,8,,32,1,,15,6,,218,4,6
Marina Mabrey,CON,G,35,1103,35,1103,,-13.9,-2.3,,56,18,,55,14,,29,12,,312,8,23
Rayah Marshall,CON,C-F,15,90,15,90,,1.2,15.0,,4,2,,8,0,,7,0,,9,4,2
Aneesah Morrow,CON,F,41,775,41,775,,-9.5,6.2,,19,18,,45,2,,47,4,,45,9,28
Olivia Nelson-Ododa,CON,C,37,800,37,800,,-10.7,4.2,,11,12,,38,14,,52,1,,78,7,20
Robyn Parks,CON,F,6,63,6,63,,-4.1,9.2,,0,0,,5,1,,0,0,,4,0,0
Haley Peters,CON,F-G,33,380,33,380,,-15.1,-2.6,,11,2,,23,6,,4,6,,61,1,6
Saniya Rivers,CON,G,42,1097,42,1097,,-13.0,0.1,,48,8,,37,2,,24,11,,253,7,14
Mamignan Touré,CON,G,18,147,18,147,,-9.8,3.5,,3,4,,11,0,,0,0,,20,0,0
Paige Bueckers,DAL,G,36,1199,36,1199,,-4.6,10.9,,50,19,,47,2,,69,12,,461,28,21
Luisa Geiselsoder,DAL,C,28,628,28,628,,-10.4,-3.4,,17,2,,34,8,,4,0,,100,1,6
Tyasha Harris,DAL,G,5,82,5,82,,10.9,20.0,,2,1,,5,0,,1,1,,29,0,1
Myisha Hines-Allen,DAL,F,40,882,40,882,,-5.8,4.7,,43,17,,53,16,,39,5,,264,7,16
Aziaha James,DAL,G,38,673,38,673,,-10.2,-3.3,,22,10,,24,1,,28,9,,129,9,11
Teaira McCowan,DAL,C,17,219,17,219,,-11.2,-3.4,,2,3,,8,10,,16,1,,26,5,9
Arike Ogunbowale,DAL,G,29,966,29,966,,-6.6,3.6,,38,7,,13,14,,44,5,,273,8,11
Amy Okonkwo,DAL,F,8,157,8,157,,-7.4,0.9,,2,1,,6,3,,9,0,,12,2,2
Ajae Petty,DAL,F,2,6,2,6,,-23.1,-14.9,,0,0,,1,0,,0,0,,0,0,0
JJ Quinerly,DAL,G,34,539,34,539,,-5.5,4.0,,30,13,,30,1,,23,9,,182,9,21
Maddy Siegrist,DAL,F,26,702,26,702,,-6.9,2.1,,8,6,,29,0,,26,1,,48,4,15
Serena Sundell,DAL,G,3,22,3,22,,-43.2,-35.4,,1,1,,1,0,,0,1,,0,0,0
Christyn Williams,DAL,G,4,45,4,45,,-59.2,-52.3,,1,0,,3,0,,2,0,,6,0,1
Laeticia Amihere,GSV,F,29,385,29,385,,-0.5,-3.0,,5,13,,19,7,,27,2,,71,3,14
Monique Billings,GSV,F,26,474,26,474,,0.1,-2.4,,8,5,,25,5,,28,4,,39,7,10
Veronica Burton,GSV,G,44,1292,44,1292,,3.8,7.1,,67,19,,44,3,,71,23,,661,17,37
Kaitlyn Chen,GSV,G,24,247,24,247,,-6.1,-9.3,,12,6,,11,0,,4,2,,58,3,4
Temi Fagbenle,GSV,C,39,925,39,925,,-0.3,-4.4,,21,10,,48,21,,20,3,,161,9,19
Tiffany Hayes,GSV,G,26,700,26,700,,5.2,5.6,,31,16,,19,0,,25,8,,192,2,18
Carla Leite,GSV,G,37,637,37,637,,5.5,5.7,,39,12,,20,1,,38,18,,181,6,16
Kyara Linskens,GSV,C,4,27,4,27,,12.5,10.8,,1,1,,6,0,,0,0,,2,0,0
Kate Martin,GSV,G,42,687,42,687,,-3.0,-7.9,,14,10,,24,2,,15,2,,96,3,19
Iliana Rupert,GSV,C,21,486,21,486,,7.5,7.8,,7,2,,25,8,,8,1,,79,2,9
Janelle Salaün,GSV,F,36,973,36,973,,0.0,-4.1,,21,14,,26,6,,25,3,,108,5,7
Kayla Thornton,GSV,F,22,662,22,662,,2.7,1.4,,9,15,,14,4,,31,3,,82,3,10
Cecilia Zandalasini,GSV,F,19,450,19,450,,4.9,4.1,,11,12,,13,1,,12,3,,72,2,3
Aliyah Boston,IND,C-F,44,1327,44,1327,,6.5,10.2,,31,14,,60,25,,63,7,,402,13,39
Caitlin Clark,IND,G,13,404,13,404,,8.7,6.2,,42,16,,21,2,,17,2,,249,7,9
Sydney Colson,IND,G,30,404,30,404,,-2.4,-8.3,,23,7,,12,2,,2,4,,145,0,2
Sophie Cunningham,IND,G,30,756,30,756,,1.1,-5.2,,9,9,,20,9,,14,7,,83,3,10
Damiris Dantas,IND,C-F,38,439,38,439,,-4.9,-11.9,,14,5,,27,7,,12,1,,63,2,10
Natasha Howard,IND,F,44,1060,44,1060,,7.2,8.1,,33,19,,61,12,,58,8,,152,9,19
Lexie Hull,IND,G,44,1189,44,1189,,6.6,7.7,,21,16,,47,2,,13,30,,186,5,19
Kyra Lambert,IND,G,1,0,1,0,,,,,0,0,,0,0,,0,0,,0,0,0
Aari McDonald,IND,G,20,525,20,525,,3.1,-1.2,,29,8,,17,4,,20,12,,219,6,6
