file,type,column,n_unique,examples,out,rows,cols
phase4_player_event_rates_2025.csv,unmapped_team_uuid,team_id,2.0,a94924c8-9ca9-49aa-94f1-864f49c51a1c;bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,,,
phase4_player_event_rates_2025.csv,unmapped_player_uuid,player_id,19.0,62b9a043-7510-4e53-8666-e14602bdbd49;a3b7b84f-cfa9-42cc-8534-f11d2e90e8de;836cd047-874a-464b-9d20-20491fbc8046;dcae3590-523f-4b3d-a8b6-c00730d0eda9;1db3458a-8ac3-4939-95bb-5c74f478e18c;9be4b9f9-76d7-4540-87a4-fd78eb60d301;7198b1c2-005e-46b1-a4f6-cb362983c7a1;7aab70d6-2179-4389-a30e-e3da9c6a1713;9f24ada2-0ccc-48c1-b7e3-6e5b8bf59739;9337d5c5-4f77-442b-b5a0-1b433502704f,,,
phase4_player_event_rates_2025.csv,wrote,,,,raw_data\phase4_canonical\phase4_player_event_rates_2025_canonical.csv,5336.0,16.0
phase4_lineup_stints_2025.csv,unmapped_team_uuid,team_id,2.0,a94924c8-9ca9-49aa-94f1-864f49c51a1c;bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,,,
phase4_lineup_stints_2025.csv,unmapped_player_uuid,p1,5.0,1db3458a-8ac3-4939-95bb-5c74f478e18c;485e8571-a199-418e-a0aa-ad0afb37bd95;836cd047-874a-464b-9d20-20491fbc8046;854fcf7f-b273-4a86-9d26-225d4fd3818c;2c7fd108-72f9-4417-9b4f-eae4cbad886b,,,
phase4_lineup_stints_2025.csv,unmapped_player_uuid,p2,10.0,1db3458a-8ac3-4939-95bb-5c74f478e18c;7aab70d6-2179-4389-a30e-e3da9c6a1713;2c7fd108-72f9-4417-9b4f-eae4cbad886b;485e8571-a199-418e-a0aa-ad0afb37bd95;564b47ed-ae1e-442b-b949-82164f36b079;7198b1c2-005e-46b1-a4f6-cb362983c7a1;54a1a4d1-55cc-47d2-85e9-5aa1bfed9621;836cd047-874a-464b-9d20-20491fbc8046;854fcf7f-b273-4a86-9d26-225d4fd3818c;9337d5c5-4f77-442b-b5a0-1b433502704f,,,
phase4_lineup_stints_2025.csv,unmapped_player_uuid,p3,15.0,836cd047-874a-464b-9d20-20491fbc8046;d8df74ae-9911-43cb-9ae4-a6949093942a;7198b1c2-005e-46b1-a4f6-cb362983c7a1;7aab70d6-2179-4389-a30e-e3da9c6a1713;9337d5c5-4f77-442b-b5a0-1b433502704f;cb031214-290b-4552-a6b8-6e707aac5f56;485e8571-a199-418e-a0aa-ad0afb37bd95;2c7fd108-72f9-4417-9b4f-eae4cbad886b;62b9a043-7510-4e53-8666-e14602bdbd49;9be4b9f9-76d7-4540-87a4-fd78eb60d301,,,
phase4_lineup_stints_2025.csv,unmapped_player_uuid,p4,14.0,62b9a043-7510-4e53-8666-e14602bdbd49;a3b7b84f-cfa9-42cc-8534-f11d2e90e8de;836cd047-874a-464b-9d20-20491fbc8046;9be4b9f9-76d7-4540-87a4-fd78eb60d301;7198b1c2-005e-46b1-a4f6-cb362983c7a1;7aab70d6-2179-4389-a30e-e3da9c6a1713;d8df74ae-9911-43cb-9ae4-a6949093942a;9f24ada2-0ccc-48c1-b7e3-6e5b8bf59739;9337d5c5-4f77-442b-b5a0-1b433502704f;dcae3590-523f-4b3d-a8b6-c00730d0eda9,,,
phase4_lineup_stints_2025.csv,unmapped_player_uuid,p5,12.0,dcae3590-523f-4b3d-a8b6-c00730d0eda9;9be4b9f9-76d7-4540-87a4-fd78eb60d301;9f24ada2-0ccc-48c1-b7e3-6e5b8bf59739;a3b7b84f-cfa9-42cc-8534-f11d2e90e8de;ee819b1f-3059-4285-858f-297bfade5cd1;db3ec44f-708c-4853-af9a-fc7c04407366;62b9a043-7510-4e53-8666-e14602bdbd49;97784b9d-e00b-4d5f-b629-82bfa126b833;fe6b0146-44c8-4fd1-a0f8-cd434ed2a80a;564b47ed-ae1e-442b-b949-82164f36b079,,,
phase4_lineup_stints_2025.csv,wrote,,,,raw_data\phase4_canonical\phase4_lineup_stints_2025_canonical.csv,24089.0,15.0
phase4_team_style_2025.csv,unmapped_team_uuid,team_id,2.0,a94924c8-9ca9-49aa-94f1-864f49c51a1c;bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,,,
phase4_team_style_2025.csv,wrote,,,,raw_data\phase4_canonical\phase4_team_style_2025_canonical.csv,15.0,12.0
phase4_game_context_2025.csv,unmapped_team_uuid,home_team_id,1.0,a94924c8-9ca9-49aa-94f1-864f49c51a1c,,,
phase4_game_context_2025.csv,unmapped_team_uuid,away_team_id,1.0,bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,,,
phase4_game_context_2025.csv,wrote,,,,raw_data\phase4_canonical\phase4_game_context_2025_canonical.csv,287.0,11.0
