playerid,playername,teamid,pos,seasonkey,age
player_monique_akoa_makani,Monique Akoa Makani,PHO,G,monique_akoa_makani|PHO,25.0
player_julie_allemand,Julie Allemand,LAS,G,julie_allemand|LAS,29.0
player_lindsay_allen,Lindsay Allen,CON,G,lindsay_allen|CON,30.0
player_rebecca_allen,Rebecca Allen,CHI,F-G,rebecca_allen|CHI,33.0
player_laeticia_amihere,Laeticia Amihere,GSV,F,laeticia_amihere|GSV,24.0
player_yvonne_anderson,Yvonne Anderson,MIN,G,yvonne_anderson|MIN,35.0
player_ariel_atkins,Ariel Atkins,CHI,G,ariel_atkins|CHI,29.0
player_shakira_austin,Shakira Austin,WAS,F-C,shakira_austin|WAS,25.0
player_mari_me_badiane,Marième Badiane,MIN,C,mari_me_badiane|MIN,31.0
player_rachel_banham,Rachel Banham,CHI,G,rachel_banham|CHI,32.0
player_sarah_ashlee_barker,Sarah Ashlee Barker,LAS,G,sarah_ashlee_barker|LAS,24.0
player_kierstan_bell,Kierstan Bell,LVA,F,kierstan_bell|LVA,25.0
player_monique_billings,Monique Billings,GSV,F,monique_billings|GSV,29.0
player_aliyah_boston,Aliyah Boston,IND,C-F,aliyah_boston|IND,24.0
player_crystal_bradford,Crystal Bradford,LVA,F,crystal_bradford|LVA,32.0
player_cameron_brink,Cameron Brink,LAS,F,cameron_brink|LAS,24.0
player_jaelyn_brown,Jaelyn Brown,CON,G-F,jaelyn_brown|CON,27.0
player_kalani_brown,Kalani Brown,PHO,C,kalani_brown|PHO,28.0
player_lexie_brown,Lexie Brown,SEA,G,lexie_brown|SEA,31.0
player_paige_bueckers,Paige Bueckers,DAL,G,paige_bueckers|DAL,24.0
player_kennedy_burke,Kennedy Burke,NYL,G-F,kennedy_burke|NYL,28.0
player_rae_burrell,Rae Burrell,LAS,G-F,rae_burrell|LAS,25.0
player_veronica_burton,Veronica Burton,GSV,G,veronica_burton|GSV,25.0
player_maya_caldwell,Maya Caldwell,ATL,G,maya_caldwell|ATL,27.0
player_jordin_canada,Jordin Canada,ATL,G,jordin_canada|ATL,30.0
player_emma_cannon,Emma Cannon,LAS,F,emma_cannon|LAS,36.0
player_kamilla_cardoso,Kamilla Cardoso,CHI,C,kamilla_cardoso|CHI,24.0
player_bridget_carleton,Bridget Carleton,MIN,F,bridget_carleton|MIN,28.0
player_tina_charles,Tina Charles,CON,C,tina_charles|CON,37.0
player_kaitlyn_chen,Kaitlyn Chen,GSV,G,kaitlyn_chen|GSV,23.0
player_sonia_citron,Sonia Citron,WAS,G,sonia_citron|WAS,22.0
player_caitlin_clark,Caitlin Clark,IND,G,caitlin_clark|IND,24.0
player_natasha_cloud,Natasha Cloud,NYL,G,natasha_cloud|NYL,33.0
player_nia_coffey,Nia Coffey,ATL,F,nia_coffey|ATL,30.0
player_napheesa_collier,Napheesa Collier,MIN,F,napheesa_collier|MIN,29.0
player_sydney_colson,Sydney Colson,IND,G,sydney_colson|IND,36.0
player_zia_cooke,Zia Cooke,SEA,G,zia_cooke|SEA,25.0
player_kahleah_copper,Kahleah Copper,PHO,G-F,kahleah_copper|PHO,31.0
player_sophie_cunningham,Sophie Cunningham,IND,G,sophie_cunningham|IND,29.0
player_damiris_dantas,Damiris Dantas,IND,C-F,damiris_dantas|IND,33.0
player_kariata_diaby,Kariata Diaby,CON,C,kariata_diaby|CON,30.0
player_skylar_diggins,Skylar Diggins,SEA,G,skylar_diggins|SEA,35.0
player_stefanie_dolson,Stefanie Dolson,WAS,C,stefanie_dolson|WAS,34.0
player_emily_engstler,Emily Engstler,WAS,F,emily_engstler|WAS,25.0
player_dana_evans,Dana Evans,LVA,G,dana_evans|LVA,27.0
player_temi_fagbenle,Temi Fagbenle,GSV,C,temi_fagbenle|GSV,33.0
player_sania_feagin,Sania Feagin,LAS,F,sania_feagin|LAS,22.0
player_leonie_fiebich,Leonie Fiebich,NYL,F,leonie_fiebich|NYL,26.0
player_rebekah_gardner,Rebekah Gardner,NYL,G,rebekah_gardner|NYL,35.0
player_luisa_geiselsoder,Luisa Geiselsoder,DAL,C,luisa_geiselsoder|DAL,25.0
player_allisha_gray,Allisha Gray,ATL,G,allisha_gray|ATL,31.0
