playerId,g,mpg,starterFlag,usageProxyPer36
player_monique_akoa_makani,41,21.488,1,0.337
player_julie_allemand,34,28.324,1,0.245
player_lindsay_allen,31,14.516,,0.273
player_rebecca_allen,44,18.659,,0.294
player_laeticia_amihere,29,13.276,,0.558
player_yvonne_anderson,1,12.000,,9.000
player_ariel_atkins,34,28.529,1,0.534
player_shakira_austin,38,23.000,1,0.613
player_mari_me_badiane,3,3.667,,5.564
player_rachel_banham,44,24.568,1,0.329
player_sarah_ashlee_barker,34,14.147,,0.337
player_kierstan_bell,35,12.200,,0.428
player_monique_billings,26,18.231,,0.568
player_aliyah_boston,44,30.159,1,0.400
player_crystal_bradford,4,6.000,,2.700
player_cameron_brink,19,12.842,,0.898
player_jaelyn_brown,10,13.100,,1.178
player_kalani_brown,29,12.759,,0.450
player_lexie_brown,24,9.458,,0.393
player_paige_bueckers,36,33.306,1,0.569
player_kennedy_burke,36,21.639,,0.354
player_rae_burrell,28,18.393,,0.563
player_veronica_burton,44,29.364,1,0.356
player_maya_caldwell,41,18.537,,0.285
player_jordin_canada,28,27.964,1,0.621
player_emma_cannon,21,10.143,,0.724
player_kamilla_cardoso,40,27.550,1,0.472
player_bridget_carleton,44,27.886,1,0.201
player_tina_charles,43,28.419,1,0.522
player_kaitlyn_chen,24,10.292,,0.442
player_sonia_citron,44,32.159,1,0.366
player_caitlin_clark,13,31.077,1,1.949
player_natasha_cloud,41,29.049,1,0.337
player_nia_coffey,44,10.341,,0.355
player_napheesa_collier,33,32.273,1,0.679
player_sydney_colson,30,13.467,,0.338
player_zia_cooke,26,10.038,,0.606
player_kahleah_copper,28,26.857,1,0.788
player_sophie_cunningham,30,25.200,,0.362
player_damiris_dantas,38,11.553,,0.484
player_kariata_diaby,13,7.923,,0.868
player_skylar_diggins,43,31.233,1,0.443
player_stefanie_dolson,43,15.186,,0.233
player_emily_engstler,40,12.800,,0.337
player_dana_evans,44,17.659,,0.353
player_temi_fagbenle,39,23.718,1,0.323
player_sania_feagin,16,4.812,,1.049
player_leonie_fiebich,37,28.135,1,0.275
player_rebekah_gardner,41,12.244,,0.259
player_luisa_geiselsoder,28,22.429,1,0.434
player_allisha_gray,42,34.548,1,0.427
player_chelsea_gray,44,31.091,1,0.333
player_brittney_griner,39,20.769,1,0.452
player_megan_gustafson,20,11.300,,0.566
player_dearica_hamby,44,31.227,1,0.471
player_isabelle_harrison,34,10.588,,0.517
player_tyasha_harris,5,16.400,,1.921
player_bria_hartley,38,22.816,1,0.438
player_tiffany_hayes,26,26.923,1,0.636
player_lexi_held,32,14.719,,0.482
player_natisha_hiedeman,44,18.932,,0.383
player_naz_hillmon,44,25.500,,0.272
player_myisha_hines_allen,40,22.050,1,0.381
player_joyner_holmes,6,4.833,,2.855
player_mackenzie_holmes,10,5.800,,0.434
player_natasha_howard,44,24.091,1,0.388
player_rhyne_howard,33,34.879,1,0.575
player_lexie_hull,44,27.023,1,0.244
player_sabrina_ionescu,38,31.421,1,0.591
player_kiki_iriafen,44,26.932,1,0.433
player_rickea_jackson,38,30.868,1,0.489
player_aziaha_james,38,17.711,,0.488
player_moriah_jefferson,5,7.000,,2.057
player_marine_johannes,44,18.250,,0.317
player_brionna_jones,44,26.568,1,0.386
player_jonquel_jones,31,26.774,1,0.576
player_elizabeth_kitley,12,8.167,,0.951
player_anastasiia_kosu,21,3.810,,0.904
player_le_la_lacan,25,26.600,1,0.614
player_kitija_laksa,33,18.970,,0.376
