season,playerId,playerName,teamId,pos,g,mp,onCourt_plusMinus_per100,onOff_plusMinus_per100,tov_badPass,tov_lostBall,tov_shoot,tov_offensiveFoulOrOther,foulsCommitted_shooting,foulsCommitted_offensive,misc_pga,misc_and1,misc_blkd,oldPlayerId,oldTeamId
2025,player_a_ja_wilson,A'ja Wilson,LVA,C,40,1247,12.2,29.5,41,21,44,16,139,3,304,39,30,bref_lva_a_ja_wilson,LVA
2025,player_aaliyah_edwards,Aaliyah Edwards,CON,F,36,534,-10.2,-1.3,11,15,24,9,36,7,48,7,16,bref_tot_aaliyah_edwards,TOT
2025,player_aaliyah_nye,Aaliyah Nye,LVA,G-F,44,671,-3.3,-11.4,15,7,31,3,6,3,55,1,10,bref_lva_aaliyah_nye,LVA
2025,player_aari_mcdonald,Aari McDonald,IND,G,20,525,3.1,-1.2,29,8,17,4,20,12,219,6,6,bref_ind_aari_mcdonald,IND
2025,player_aerial_powers,Aerial Powers,GSV,G,10,167,14.4,12.0,7,2,12,1,14,1,45,5,6,bref_tot_aerial_powers,TOT
2025,player_ajae_petty,Ajae Petty,DAL,F,2,6,-23.1,-14.9,0,0,1,0,0,0,0,0,0,bref_dal_ajae_petty,DAL
2025,player_alanna_smith,Alanna Smith,MIN,F,42,1114,11.5,-2.4,32,14,57,12,30,13,292,10,11,bref_min_alanna_smith,MIN
2025,player_alexis_prince,Alexis Prince,PHO,F,1,22,13.8,10.3,2,0,0,1,0,0,2,0,0,bref_pho_alexis_prince,PHO
2025,player_alissa_pili,Alissa Pili,LAS,F,19,99,8.6,4.3,4,2,7,2,7,0,7,1,3,bref_tot_alissa_pili,TOT
2025,player_aliyah_boston,Aliyah Boston,IND,C-F,44,1327,6.5,10.2,31,14,60,25,63,7,402,13,39,bref_ind_aliyah_boston,IND
2025,player_allisha_gray,Allisha Gray,ATL,G,42,1451,9.4,-1.3,36,28,43,4,102,15,350,22,32,bref_atl_allisha_gray,ATL
2025,player_alysha_clark,Alysha Clark,WAS,F,42,828,-10.3,-11.4,9,3,36,8,8,12,122,2,2,bref_tot_alysha_clark,TOT
2025,player_alyssa_thomas,Alyssa Thomas,PHO,F,39,1221,7.9,14.5,89,20,30,22,77,0,892,22,30,bref_pho_alyssa_thomas,PHO
2025,player_amy_okonkwo,Amy Okonkwo,DAL,F,8,157,-7.4,0.9,2,1,6,3,9,0,12,2,2,bref_dal_amy_okonkwo,DAL
2025,player_anastasiia_kosu,Anastasiia Kosu,MIN,F,21,80,26.0,14.3,2,2,0,2,7,0,11,1,4,bref_min_anastasiia_kosu,MIN
