playerId,orb,trb,ast,stl,blk,tov,pf
player_monique_akoa_makani,0.6,2.2,2.7,0.8,0.1,1.3,2.5
player_julie_allemand,0.4,3.7,5.0,1.3,0.0,1.6,1.6
player_lindsay_allen,0.3,1.0,2.0,0.3,0.2,1.0,1.2
player_rebecca_allen,0.4,2.6,1.3,0.5,0.5,0.9,1.4
player_laeticia_amihere,1.2,4.3,0.9,0.6,0.4,1.1,1.2
player_yvonne_anderson,0.0,1.0,2.0,2.0,0.0,0.0,3.0
player_ariel_atkins,0.7,3.4,3.6,1.6,0.7,2.5,3.0
player_shakira_austin,1.5,6.4,1.8,1.1,1.1,2.4,2.1
player_mari_me_badiane,0.3,0.3,0.0,0.7,0.0,0.7,2.0
player_rachel_banham,0.1,1.7,2.7,0.6,0.3,1.6,1.9
player_sarah_ashlee_barker,0.3,1.9,0.9,0.3,0.1,1.1,1.3
player_kierstan_bell,0.6,1.8,0.7,0.4,0.3,0.5,0.9
player_monique_billings,1.4,4.5,0.5,0.6,0.8,0.8,1.7
player_aliyah_boston,2.4,8.2,3.7,1.2,0.9,1.8,3.1
player_crystal_bradford,0.5,1.3,0.3,0.5,0.0,0.3,0.8
player_cameron_brink,1.4,4.3,0.5,0.5,1.4,1.3,2.5
player_jaelyn_brown,0.4,1.2,0.1,0.5,0.2,0.5,1.7
player_kalani_brown,1.2,4.0,0.6,0.2,0.6,0.8,1.6
player_lexie_brown,0.1,0.7,1.0,0.4,0.0,0.3,0.8
player_paige_bueckers,0.7,3.9,5.4,1.6,0.5,2.0,2.3
player_kennedy_burke,0.6,2.4,1.3,0.8,0.4,0.9,1.3
player_rae_burrell,0.6,2.3,1.2,0.6,0.2,0.9,1.3
player_veronica_burton,1.1,4.4,6.0,1.1,0.6,2.1,2.3
player_maya_caldwell,0.8,3.1,1.8,0.9,0.2,1.0,1.6
player_jordin_canada,0.3,3.3,5.7,1.7,0.3,2.2,1.6
player_emma_cannon,0.5,1.8,0.4,0.5,0.0,0.8,1.7
player_kamilla_cardoso,3.0,8.5,2.5,0.4,1.2,2.4,2.8
player_bridget_carleton,0.9,3.6,2.0,0.8,0.3,0.8,1.9
player_tina_charles,1.4,5.8,1.7,0.8,0.4,1.9,2.1
player_kaitlyn_chen,0.2,0.9,1.0,0.2,0.0,0.8,0.7
player_sonia_citron,0.7,4.0,2.4,1.3,0.4,2.1,2.1
player_caitlin_clark,0.1,5.0,8.8,1.6,0.5,5.1,2.7
player_natasha_cloud,0.3,3.7,5.1,1.2,0.3,1.9,2.9
player_nia_coffey,0.6,2.6,1.0,0.2,0.4,0.7,1.1
player_napheesa_collier,1.9,7.3,3.2,1.6,1.5,2.1,2.4
player_sydney_colson,0.2,0.8,2.0,0.5,0.2,1.2,1.1
player_zia_cooke,0.2,0.5,0.5,0.4,0.0,0.8,1.0
player_kahleah_copper,0.4,2.9,1.5,1.1,0.2,2.2,2.6
player_sophie_cunningham,0.5,3.5,1.2,1.0,0.1,1.1,2.2
player_damiris_dantas,0.7,2.4,0.7,0.2,0.1,0.8,1.5
player_kariata_diaby,0.2,1.0,0.4,0.5,0.1,0.9,1.5
player_skylar_diggins,0.6,2.5,6.0,1.2,0.8,2.1,2.3
player_stefanie_dolson,0.4,2.3,1.4,0.3,0.3,0.7,2.3
player_emily_engstler,0.9,3.3,1.5,0.7,0.7,1.0,1.3
