playerId,fg,fga,fgPct,fg3,fg3a,fg3Pct,fg2,fg2a,fg2Pct,ft,fta,ftPct,pts
player_monique_akoa_makani,2.8,6.5,43.00,1.2,3.0,39.80,1.6,3.5,45.80,0.9,1.0,92.70,7.7
player_julie_allemand,2.1,4.7,44.00,0.8,3.0,27.70,1.2,1.7,72.40,0.4,0.6,78.90,5.4
player_lindsay_allen,0.8,2.1,40.00,0.1,0.6,16.70,0.7,1.5,48.90,0.6,0.7,82.60,2.4
player_rebecca_allen,1.9,5.5,34.20,1.0,3.0,31.80,0.9,2.5,37.00,0.4,0.7,61.30,5.1
player_laeticia_amihere,1.8,3.9,45.60,0.1,0.7,14.30,1.7,3.2,52.70,1.7,2.2,77.80,5.4
player_yvonne_anderson,0.0,3.0,0.00,0.0,1.0,0.00,0.0,2.0,0.00,0.0,0.0,nan,0.0
player_ariel_atkins,4.8,10.7,44.40,1.3,3.5,36.10,3.5,7.2,48.40,2.4,2.7,86.00,13.1
player_shakira_austin,5.0,10.8,46.50,0.1,0.4,13.30,5.0,10.4,47.70,2.6,3.8,66.40,12.7
player_mari_me_badiane,0.0,1.0,0.00,0.0,0.3,0.00,0.0,0.7,0.00,0.0,0.0,nan,0.0
player_rachel_banham,2.9,7.7,38.20,2.0,5.5,35.70,1.0,2.2,44.30,1.2,1.3,88.10,9.0
player_sarah_ashlee_barker,1.0,3.1,33.70,0.5,1.8,29.50,0.5,1.3,39.50,0.5,0.7,70.80,3.1
player_kierstan_bell,1.5,4.4,33.80,0.9,2.9,29.10,0.6,1.5,43.10,0.3,0.4,80.00,4.2
player_monique_billings,2.8,5.8,47.70,0.4,1.4,27.80,2.4,4.4,53.90,1.4,2.0,67.90,7.3
player_aliyah_boston,6.2,11.5,53.80,0.1,0.7,20.70,6.0,10.8,55.80,2.5,3.3,76.20,15.0
player_crystal_bradford,0.5,1.5,33.30,0.0,0.5,0.00,0.5,1.0,50.00,0.0,0.0,nan,1.0
player_cameron_brink,1.8,4.3,42.70,0.5,1.8,29.40,1.3,2.5,52.10,0.8,1.1,76.20,5.1
player_jaelyn_brown,1.4,3.7,37.80,0.8,1.8,44.40,0.6,1.9,31.60,0.1,0.2,50.00,3.7
player_kalani_brown,2.0,3.3,61.50,0.1,0.3,37.50,1.9,3.0,63.60,0.9,1.2,77.10,5.1
player_lexie_brown,0.7,2.0,35.40,0.4,1.5,27.00,0.3,0.5,63.60,0.3,0.4,70.00,2.1
player_paige_bueckers,7.2,15.1,47.70,1.1,3.3,33.10,6.1,11.8,51.80,3.8,4.2,88.80,19.2
player_kennedy_burke,2.8,6.1,46.80,1.3,3.1,41.40,1.6,3.0,52.30,1.1,1.5,75.90,8.1
player_rae_burrell,2.8,6.4,43.30,0.8,2.4,32.80,2.0,4.0,49.50,1.3,1.7,74.50,7.5
player_veronica_burton,3.4,8.8,38.70,1.4,4.0,34.50,2.0,4.7,42.30,3.8,4.3,87.80,11.9
player_maya_caldwell,2.0,4.8,42.60,1.0,2.7,35.50,1.1,2.1,51.80,0.4,0.5,80.00,5.4
player_jordin_canada,3.9,9.8,39.60,0.9,3.1,29.10,3.0,6.7,44.40,2.6,3.4,76.00,11.2
player_emma_cannon,1.5,3.0,50.80,0.7,1.7,38.90,0.9,1.3,66.70,0.7,1.1,65.20,4.4
player_kamilla_cardoso,5.6,10.6,52.80,0.0,0.1,50.00,5.6,10.5,52.90,2.4,3.3,72.20,13.6
player_bridget_carleton,2.3,5.8,40.20,1.4,3.8,37.30,0.9,1.9,45.90,0.4,0.6,72.00,6.5
player_tina_charles,6.0,13.8,43.80,0.3,1.1,26.10,5.8,12.7,45.30,3.9,4.6,85.70,16.3
player_kaitlyn_chen,0.8,2.1,38.00,0.2,0.6,33.30,0.6,1.5,40.00,0.2,0.3,71.40,2.0
player_sonia_citron,5.1,10.8,47.00,1.8,4.1,44.50,3.2,6.6,48.60,3.0,3.4,87.20,14.9
player_caitlin_clark,5.5,15.1,36.70,2.2,8.0,27.90,3.3,7.1,46.70,3.2,3.8,82.00,16.5
player_natasha_cloud,3.7,8.5,43.30,1.3,3.8,33.80,2.4,4.8,50.80,1.5,1.7,87.00,10.1
player_nia_coffey,1.3,3.3,37.40,0.5,1.9,29.30,0.7,1.5,47.70,0.8,1.1,72.00,3.9
player_napheesa_collier,8.3,15.7,53.10,1.5,3.8,40.30,6.8,11.9,57.10,4.7,5.2,90.60,22.9
player_sydney_colson,0.9,2.5,34.20,0.4,1.6,27.70,0.4,1.0,44.80,0.2,0.2,85.70,2.4
player_zia_cooke,1.2,3.2,35.70,0.6,1.5,39.50,0.6,1.8,32.60,0.6,0.9,65.20,3.5
player_kahleah_copper,5.5,12.9,42.40,2.0,5.4,37.70,3.4,7.5,45.70,2.7,3.1,85.20,15.6
player_sophie_cunningham,2.7,5.8,46.90,1.7,3.9,43.20,1.0,1.9,54.40,1.4,1.6,87.50,8.6
player_damiris_dantas,1.7,4.8,34.80,0.7,2.5,26.30,1.0,2.3,44.20,0.6,0.7,85.70,4.6
player_kariata_diaby,0.5,1.1,50.00,0.0,0.0,nan,0.5,1.1,50.00,0.8,1.1,78.60,1.9
player_skylar_diggins,5.3,12.5,42.30,1.4,4.0,36.50,3.9,8.6,45.00,3.5,4.4,78.80,15.5
player_stefanie_dolson,1.4,3.3,42.30,0.6,1.7,36.00,0.8,1.6,49.30,0.3,0.5,70.00,3.7
player_emily_engstler,1.3,3.4,39.60,0.4,1.6,25.40,0.9,1.8,52.10,0.6,0.9,66.70,3.7
player_dana_evans,2.4,6.3,38.90,0.8,2.3,36.60,1.6,4.0,40.20,0.9,1.2,75.50,6.6
player_temi_fagbenle,3.2,6.4,50.20,0.3,1.6,19.40,2.9,4.8,60.40,0.7,0.9,72.20,7.4
player_sania_feagin,0.6,1.8,35.70,0.0,0.3,0.00,0.6,1.5,41.70,0.0,0.1,0.00,1.3
player_leonie_fiebich,2.9,6.0,48.90,1.4,3.2,42.50,1.5,2.7,56.40,1.5,1.7,87.10,8.7
player_rebekah_gardner,1.3,2.7,50.00,0.5,1.0,47.60,0.9,1.7,51.50,0.5,0.7,81.50,3.7
player_luisa_geiselsoder,2.7,6.4,42.50,1.1,3.4,33.00,1.6,3.0,52.90,0.3,0.4,81.80,6.9
player_allisha_gray,5.9,13.0,45.10,2.3,6.1,38.40,3.5,6.9,50.90,4.4,5.5,79.90,18.4
player_chelsea_gray,3.8,8.8,43.90,1.4,3.9,36.80,2.4,4.9,49.50,2.1,2.4,88.50,11.2
player_brittney_griner,4.0,7.7,51.80,0.1,0.5,26.30,3.9,7.2,53.50,1.7,2.2,76.50,9.8
player_megan_gustafson,1.0,2.9,35.10,0.7,2.0,33.30,0.4,0.9,38.90,0.4,0.8,46.70,3.0
player_dearica_hamby,7.4,12.9,57.20,0.3,1.2,27.80,7.0,11.6,60.40,3.4,5.4,62.70,18.4
player_isabelle_harrison,1.9,3.9,48.50,0.1,0.4,26.70,1.8,3.5,51.30,1.0,1.3,76.70,4.9
player_tyasha_harris,1.6,3.6,44.40,1.0,2.2,45.50,0.6,1.4,42.90,0.4,0.4,100.00,4.6
player_bria_hartley,2.8,7.7,36.20,1.4,3.9,36.70,1.4,3.8,35.60,1.9,2.4,77.20,8.9
player_tiffany_hayes,3.8,9.1,41.80,1.6,3.9,40.60,2.2,5.2,42.60,2.5,3.1,80.00,11.7
player_lexi_held,1.9,5.1,37.80,0.9,2.8,30.80,1.1,2.3,46.60,0.6,0.7,81.80,5.3
player_natisha_hiedeman,3.4,7.0,49.20,1.0,2.8,37.10,2.4,4.2,57.40,1.2,1.5,76.10,9.1
player_naz_hillmon,3.2,6.8,46.30,1.2,3.8,32.10,2.0,3.1,63.70,1.1,1.3,83.10,8.6
player_myisha_hines_allen,2.8,6.2,45.00,0.4,1.5,26.70,2.4,4.7,50.80,1.6,2.1,74.70,7.6
player_joyner_holmes,0.5,2.0,25.00,0.2,0.8,20.00,0.3,1.2,28.60,0.0,0.0,nan,1.2
player_mackenzie_holmes,0.5,0.7,71.40,0.0,0.0,nan,0.5,0.7,71.40,0.0,0.0,nan,1.0
player_natasha_howard,4.5,8.2,55.20,0.1,0.8,18.20,4.4,7.5,59.00,2.1,3.0,71.20,11.4
player_rhyne_howard,5.7,15.1,37.50,3.1,9.6,32.20,2.6,5.5,46.70,3.1,3.6,85.60,17.5
player_lexie_hull,2.7,6.8,39.50,1.3,3.4,36.70,1.4,3.4,42.30,0.6,0.8,72.20,7.2
player_sabrina_ionescu,6.1,15.1,40.10,2.1,7.1,29.90,3.9,7.9,49.30,4.0,4.3,93.30,18.2
player_kiki_iriafen,5.0,10.3,48.80,0.0,0.3,18.20,5.0,10.1,49.50,3.1,4.0,78.40,13.3
player_rickea_jackson,5.4,12.7,42.40,1.7,4.9,34.80,3.7,7.8,47.30,2.2,2.6,84.70,14.7
player_aziaha_james,2.8,7.5,37.30,0.8,2.9,28.60,1.9,4.5,43.00,1.1,1.4,74.50,7.5
player_moriah_jefferson,0.6,1.6,37.50,0.2,0.6,33.30,0.4,1.0,40.00,0.0,0.0,nan,1.4
