season_year,game_id,home_team_id,away_team_id,home_points_final,away_points_final,lead_changes,times_tied,events_count,has_lineups,has_stats
2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,SEA,IND,86,94,6,7,412,1,1
2025,01384c8c-e038-4abe-b80a-901c44d112ce,IND,LVA,81,54,0,0,388,1,1
2025,0141c94b-0923-4c3f-8e2f-50513198e128,MIN,LVA,109,78,6,3,417,1,1
2025,02291b17-b5ee-4973-b184-51149f2c1817,PHX,NYL,106,91,1,1,380,1,1
2025,0293e78b-c940-41cf-a0cd-7e8477e22e8c,NYL,WAS,89,63,8,6,347,1,1
2025,03c66dd6-d190-41d7-bb90-7709c8c6493b,IND,LAS,75,85,4,4,425,1,1
2025,042c5181-7425-497a-8593-922c0cccfc16,LAS,CON,102,91,12,6,400,1,1
2025,066fe1b5-ac89-4da1-be0d-7a9f9c1ee193,ATL,CON,87,62,6,4,356,1,1
2025,076e0d71-c610-4e6f-9814-6099bc1f606b,DAL,NYL,77,88,2,0,398,1,1
2025,07de9590-90f6-48b8-87d9-f4870dd9e369,LAS,PHX,84,92,2,2,371,1,1
2025,0934f4d6-98dc-4543-b6bd-c04adfa95bf2,PHX,IND,95,60,0,0,419,1,1
2025,0962940f-0261-4fce-b716-3a16393d43b7,DAL,GSV,81,90,8,7,377,1,1
2025,0976f7b8-1f32-4781-a1a1-c00605e4456c,WAS,CHI,103,86,4,2,412,1,1
2025,0b629654-f5ce-4ac6-af48-0c1db944c24c,ATL,WAS,99,83,1,0,402,1,1
2025,0dba890c-bbe9-4bd1-bfce-2ccaff13d596,CHI,GSV,59,90,9,3,345,1,1
2025,10082fe6-4d1c-4a6a-997d-061623f03559,GSV,CON,87,63,6,5,447,1,1
2025,10582ee6-a493-4e18-9878-6203b5e8065d,SEA,PHX,77,70,8,7,358,1,1
2025,113aaa30-c901-4aa5-bbaa-16445f830e85,DAL,ATL,68,55,3,5,390,1,1
2025,1146f4af-8af9-4447-97da-96ce6b61a481,DAL,SEA,60,95,1,1,390,1,1
2025,127815af-ec83-4409-b0c3-4140a357a60c,WAS,ATL,94,90,9,12,446,1,1
2025,1294e522-7385-45d7-852f-76da7cf5ab3d,MIN,LAS,82,66,10,3,378,1,1
2025,17812353-7592-47dc-9fe1-36f6bb0d8b9d,PHX,ATL,79,90,1,3,378,1,1
2025,17a0db49-b39b-430e-91c7-d573aca6eb9e,DAL,NYL,92,82,0,0,388,1,1
2025,185c1d82-80ca-427a-bb34-b717e2127e2e,IND,PHX,107,101,5,7,472,1,1
2025,186e6409-ec2d-4ab0-ae28-17589c92364e,CHI,ATL,65,86,1,1,364,1,1
2025,1a0df56d-9b5f-4e53-9d8a-8b754f489bef,LAS,LVA,75,103,2,1,361,1,1
2025,1a3627a5-02d8-49f1-8015-8b258b6af8d6,LVA,MIN,58,111,1,0,358,1,1
2025,1af6c1e1-fa3c-4263-8c71-da93fc3e0406,IND,NYL,88,90,14,15,419,1,1
2025,1afa397b-1c35-4439-9ccf-dfb9fe66edfd,NYL,ATL,79,72,5,4,411,1,1
2025,1bfb21d0-94d4-414b-872a-8caa5df09a89,ATL,MIN,75,73,3,3,379,1,1
2025,1c528f37-bdd0-449a-99b5-7a8d174e4243,GSV,NYL,78,81,16,7,391,1,1
2025,1cf9c10b-f66e-464f-8cf5-6cb1f3ea43c6,SEA,NYL,76,84,6,4,358,1,1
2025,1d299098-034f-480d-af99-bcebd640859e,IND,CON,83,85,5,5,365,1,1
2025,1dc8a33e-b81b-4a0d-91bf-0109943d729e,LAS,CON,92,88,5,10,383,1,1
2025,1dffe97b-d132-4697-af9f-8b08902da90d,CHI,PHX,67,83,3,4,384,1,1
2025,1ecad64f-deda-4055-95e7-198f2df3fa68,CON,ATL,72,88,3,0,381,1,1
2025,1f15d85b-41ea-4e16-b597-b0e14ee9ba73,NYL,IND,98,77,1,1,378,1,1
2025,1fbd18c4-cdc0-447c-b339-e189c095c217,ATL,LAS,104,85,2,3,365,1,1
2025,211705ef-50b5-48b3-8486-1e18374bada4,CON,IND,93,99,2,5,463,1,1
2025,21815dfe-7533-4983-9fc4-01b7e5798634,ATL,SEA,79,80,25,9,365,1,1
2025,229cd339-d841-43e9-8caf-50acf5713440,CON,ATL,76,93,9,9,377,1,1
2025,25596e43-21b0-4411-b093-a5ca0b6480d6,LVA,SEA,90,86,6,4,380,1,1
2025,26dc7ac4-cdfa-4270-bdb1-394c4e513476,MIN,GSV,72,53,1,3,375,1,1
2025,272d53ae-a46b-43bc-ac0f-8a846e03a9d1,MIN,PHX,88,65,1,1,350,1,1
2025,27345b01-bece-490a-b228-52c863c0e525,GSV,CHI,83,78,8,7,420,1,1
2025,274b94f6-f288-4d46-bf2c-1b3ffaddacdf,DAL,MIN,65,81,1,2,373,1,1
2025,293a4a3d-3699-4cd3-b085-0dc0e8c56188,GSV,LAS,67,84,5,7,365,1,1
2025,29b79cdd-02fe-4814-a965-ee95a23a8475,MIN,WAS,80,76,11,3,355,1,1
2025,2cc91c72-9797-403a-adc1-51f134d84117,GSV,PHX,91,98,8,2,406,1,1
2025,2d265850-900a-4d26-b91d-9ea1c0a1b382,LVA,SEA,83,90,11,2,373,1,1
2025,2de72b4c-3c39-42c4-8321-18efac227563,NYL,MIN,71,83,11,9,339,1,1
2025,2eb1473f-e48b-4a13-bb64-bb3604b03c6d,PHX,ATL,66,74,5,6,399,1,1
2025,2eee580f-c783-4be6-baeb-d082df2690a2,ATL,DAL,83,75,8,6,406,1,1
2025,2f5baf0d-dd06-464d-95dd-177924f443c9,CHI,CON,88,64,0,0,395,1,1
2025,3128ac62-3240-4020-a3d9-456d92e4e181,WAS,LVA,70,68,3,6,391,1,1
2025,31d89653-50a1-4688-b507-15c8e12dad33,IND,MIN,83,72,0,0,358,1,1
2025,32604e6c-f852-4281-b6c9-a2d2c18fbc96,NYL,LVA,87,78,9,8,398,1,1
2025,326d833a-4a17-4fec-882e-c3699065a0ed,MIN,LVA,76,62,5,3,400,1,1
2025,32cb5f24-0d87-4645-a3fd-dd1e0fd1a4f6,NYL,IND,98,84,8,3,409,1,1
2025,333e71e9-d362-4003-836b-7d936322e7d2,CON,IND,77,85,7,10,414,1,1
2025,33c1ac74-3d81-4431-81f2-e8d996bd505b,LAS,NYL,97,105,7,3,371,1,1
2025,3495c00d-950e-4e49-87e6-3a022d1d9c1b,WAS,LAS,95,86,0,1,363,1,1
2025,35aee448-2794-4453-9b79-17b91ac28be2,WAS,IND,83,77,5,5,441,1,1
2025,35c05ea8-240a-4d51-8940-e54f7f1e403f,PHX,CHI,94,89,4,6,414,1,1
2025,36996288-3356-4ce9-b751-b31f6890cd69,LVA,IND,89,81,2,6,396,1,1
2025,37b8b67b-ceb5-4918-aa27-3d495a19e646,CON,WAS,85,90,3,1,447,1,1
2025,384c2c90-ef47-49cb-b607-d5752ff7bff9,PHX,IND,85,79,5,2,375,1,1
2025,3a283716-466b-440c-a344-5994da2e16aa,GSV,LAS,72,59,6,1,348,1,1
2025,3f5f7cac-ecfc-4b06-a399-6b587dc94aab,CON,CHI,71,62,3,3,385,1,1
2025,421e879b-21e1-43a9-a641-5a1e5cb320a3,GSV,MIN,72,78,5,6,366,1,1
2025,428eaadb-1bde-4aa3-85ad-6353e5c1f025,PHX,LAS,83,88,17,6,390,1,1
2025,42f7582e-79b3-4a78-88ba-0245ebd00b6b,CON,PHX,75,83,0,0,404,1,1
2025,44e93bed-d304-4352-aebd-6ce08d7ecba0,LAS,DAL,81,80,15,3,364,1,1
2025,45eb60bf-a1b9-4f49-90cb-62097ff47bbd,PHX,GSV,86,77,11,10,399,1,1
2025,45ff0733-6194-4e63-bc59-0cc5efa69256,CHI,SEA,88,94,5,5,394,1,1
2025,467aedcd-fa42-4992-9a69-fce47d1ece15,DAL,CON,95,101,3,0,407,1,1
2025,47165c40-8cd4-435b-8cc3-4ec5254c2ccd,SEA,DAL,63,87,1,1,401,1,1
2025,473b6ccd-bea1-4377-b656-99e755056013,IND,GSV,61,80,2,3,406,1,1
2025,475cc53b-e563-4217-a5dc-930581369bab,PHX,LVA,81,84,17,10,403,1,1
2025,47a7d227-3c32-40e6-a7ef-8ac8ab76d1a4,DAL,LAS,79,93,1,1,354,1,1
2025,4a60d4ef-8d10-4f25-bab6-346332242fd5,ATL,IND,77,58,7,11,384,1,1
2025,4ad39d3d-bb92-4273-aac9-14aced9b814c,DAL,PHX,98,89,1,1,431,1,1
2025,4b134f76-aff1-49fb-b585-3e9073eb44c2,SEA,ATL,75,85,6,4,373,1,1
2025,4bfeb202-768f-487c-a416-9c9a314242a6,CHI,LAS,97,86,1,3,436,1,1
2025,4d8cf7bd-df70-42d4-a4fd-14a6fcb736a9,IND,LVA,80,70,11,5,397,1,1
