player_id,team_id,fga,fta,three_pa,tov,ast,reb,pf,stl,blk,clutch_fga,trans_fga,minutes_est,season_year,game_id
player_zia_cooke,SEA,2,0,0,0,0,0,3,0,0,0,0,12.516666666666667,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_erica_wheeler,SEA,13,4,10,6,2,2,8,1,0,0,1,56.6,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_caitlin_clark,IND,13,0,6,8,9,2,4,3,1,0,4,36.583333333333336,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_sydney_colson,IND,2,0,1,0,1,0,2,0,1,0,2,13.566666666666666,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_brianna_turner,IND,0,0,0,1,0,0,1,0,0,0,0,11.316666666666666,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_natasha_howard,IND,4,0,0,0,0,5,4,0,1,0,0,12.1,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_kelsey_mitchell,IND,14,5,7,1,4,4,9,1,1,0,3,36.48333333333333,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_gabby_williams,SEA,10,4,4,4,3,2,5,2,1,0,1,62.98333333333333,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_aliyah_boston,IND,18,6,1,1,3,8,8,2,3,0,0,36.43333333333333,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_sophie_cunningham,IND,3,2,3,2,1,3,2,2,0,0,0,23.016666666666666,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_skylar_diggins,SEA,15,5,5,1,6,2,8,1,3,0,2,66.66666666666667,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_ezi_magbegor,SEA,4,3,1,1,3,5,6,1,2,0,0,69.38333333333334,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_dominique_malonga,SEA,3,2,1,1,0,2,2,0,0,0,0,6.066666666666666,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_alysha_clark,SEA,3,2,3,2,2,2,5,1,0,0,1,28.883333333333333,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_lexie_hull,IND,10,2,4,0,0,11,6,2,1,0,3,37.766666666666666,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_damiris_dantas,IND,7,1,2,2,0,5,7,0,0,0,0,23.9,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_nneka_ogwumike,SEA,12,5,4,2,1,6,6,2,2,0,1,67.4,2025,009fc0bc-e36e-47b2-b5c5-e5cab9b252d1
player_jewell_loyd,LVA,3,2,1,1,2,4,4,0,1,0,0,37.4,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_aaliyah_nye,LVA,5,1,4,2,3,2,4,1,0,0,0,33.43333333333333,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_kierstan_bell,LVA,3,0,1,0,0,1,0,0,0,0,0,10.5,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_sydney_colson,IND,4,2,2,2,3,0,3,0,0,0,0,27.55,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_dana_evans,LVA,10,0,3,1,3,1,2,0,2,0,2,30.166666666666668,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_brianna_turner,IND,1,0,0,0,0,1,0,0,0,0,0,3.716666666666667,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_natasha_howard,IND,8,3,0,1,3,10,7,0,1,0,0,42.21666666666667,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_jackie_young,LVA,9,2,3,2,1,1,7,0,0,0,1,30.266666666666666,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_kelsey_mitchell,IND,18,4,6,2,6,0,5,2,0,0,3,44.8,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_aari_mcdonald,IND,8,2,3,4,7,7,4,0,2,0,1,49.48333333333333,2025,01384c8c-e038-4abe-b80a-901c44d112ce
62b9a043-7510-4e53-8666-e14602bdbd49,LVA,2,0,1,0,0,1,0,0,0,0,0,10.5,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_a_ja_wilson,LVA,18,13,0,3,1,3,13,0,1,0,3,32.43333333333333,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_aliyah_boston,IND,13,2,1,1,2,7,7,0,0,0,0,38.73333333333333,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_sophie_cunningham,IND,4,0,1,0,1,3,2,1,0,0,0,33.766666666666666,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_nalyssa_smith,LVA,6,2,0,3,0,7,8,1,0,0,1,28.83333333333333,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_chelsea_gray,LVA,3,0,2,5,2,3,4,1,0,0,0,26.9,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_kiah_stokes,LVA,2,2,1,0,0,3,2,1,0,0,0,14.4,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_lexie_hull,IND,5,4,3,1,2,6,7,0,0,0,0,45.61666666666667,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_makayla_timpson,IND,2,0,0,1,0,3,4,2,1,0,0,18.78333333333333,2025,01384c8c-e038-4abe-b80a-901c44d112ce
player_maria_kliundikova,MIN,4,0,0,0,1,3,4,1,1,0,0,15.316666666666666,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_jewell_loyd,LVA,10,0,4,0,1,3,5,1,1,0,0,24.6,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_napheesa_collier,MIN,12,13,2,2,2,9,10,1,2,0,0,45.23333333333333,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_aaliyah_nye,LVA,7,2,5,1,0,3,2,1,0,0,0,29.25,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_kierstan_bell,LVA,8,1,5,0,0,0,3,0,0,0,1,13.883333333333333,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_dana_evans,LVA,10,4,2,3,5,4,7,0,0,0,0,28.8,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_natisha_hiedeman,MIN,6,2,3,2,3,4,4,0,0,0,1,17.266666666666666,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_jessica_shepard,MIN,4,6,0,2,4,13,5,0,0,0,1,24.016666666666666,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_courtney_williams,MIN,12,0,4,0,5,3,4,0,0,0,3,46.86666666666667,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_jackie_young,LVA,9,4,4,0,5,3,8,2,0,0,0,32.016666666666666,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_a_ja_wilson,LVA,11,6,0,0,3,7,7,0,3,0,0,28.416666666666668,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_nalyssa_smith,LVA,5,4,0,0,0,5,5,1,1,0,0,26.433333333333334,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_megan_gustafson,LVA,4,2,3,0,1,1,5,0,0,0,0,17.75,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_alanna_smith,MIN,4,6,3,1,4,6,5,3,1,0,0,36.53333333333333,2025,0141c94b-0923-4c3f-8e2f-50513198e128
a3b7b84f-cfa9-42cc-8534-f11d2e90e8de,MIN,2,3,0,0,0,1,3,0,0,0,1,7.733333333333333,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_kayla_mcbride,MIN,12,2,7,0,3,3,2,0,0,0,3,47.833333333333336,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_chelsea_gray,LVA,7,0,3,2,0,2,1,0,0,0,0,25.45,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_kiah_stokes,LVA,0,0,0,0,0,2,2,2,0,0,0,12.483333333333333,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_diamond_miller,MIN,5,2,1,1,0,0,1,0,1,0,0,18.85,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_bridget_carleton,MIN,7,4,5,2,0,6,7,0,0,0,1,43.1,2025,0141c94b-0923-4c3f-8e2f-50513198e128
player_kennedy_burke,NYL,8,0,5,2,1,2,0,0,0,0,0,24.53333333333333,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_nyara_sabally,NYL,7,7,0,0,0,6,5,0,0,0,0,30.65,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_isabelle_harrison,NYL,8,0,0,1,0,5,0,0,1,0,1,15.616666666666667,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_sabrina_ionescu,NYL,9,4,2,0,7,0,3,1,0,0,0,35.78333333333333,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_satou_sabally,PHX,14,3,10,3,3,6,2,2,0,0,1,32.93333333333333,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_natasha_mack,PHX,4,0,2,0,0,6,2,1,0,0,0,30.58333333333333,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_kalani_brown,PHX,3,0,0,1,0,5,4,0,1,0,0,11.216666666666669,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_kahleah_copper,PHX,14,0,7,4,1,4,4,0,0,0,1,37.73333333333333,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_breanna_stewart,NYL,13,4,3,3,4,5,7,1,0,0,2,38.95,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_kiana_williams,PHX,2,0,1,0,0,0,0,0,0,0,0,3.8333333333333335,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_sami_whitcomb,PHX,8,0,7,0,3,0,1,2,0,0,0,34.166666666666664,2025,02291b17-b5ee-4973-b184-51149f2c1817
836cd047-874a-464b-9d20-20491fbc8046,NYL,1,2,1,0,0,1,2,0,0,0,0,9.55,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_alyssa_thomas,PHX,11,3,0,2,15,9,7,0,0,0,0,47.63333333333333,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_marine_johannes,NYL,5,2,5,2,2,3,3,3,0,0,2,16.766666666666666,2025,02291b17-b5ee-4973-b184-51149f2c1817
player_monique_akoa_makani,PHX,6,1,3,2,4,2,2,1,0,0,1,26.7,2025,02291b17-b5ee-4973-b184-51149f2c1817
