team_id,games,minutes_est,fga,three_pa,fta,tov,ast,three_rate,fta_rate,tov_per_36,season_year
PHX,44,11555.466666666667,3018,1217,782,551,921,0.403247183565275,0.2591119946984758,1.7165901276163664,2025
NYL,44,12446.95,2875,1180,822,566,960,0.4104347826086956,0.2859130434782608,1.6370275449005578,2025
LAS,44,13347.333333333334,2952,1127,898,622,911,0.3817750677506775,0.30420054200542,1.6776384795964236,2025
LVA,44,12283.766666666666,2975,1138,813,525,861,0.3825210084033613,0.2732773109243697,1.5386160054055082,2025
CHI,44,12023.083333333334,2902,889,752,683,850,0.3063404548587181,0.259131633356306,2.0450660881498783,2025
GSV,44,12487.933333333332,2867,1314,809,566,815,0.4583188001395186,0.2821764911056854,1.6316550910478915,2025
WAS,44,11982.333333333334,2801,754,910,626,846,0.2691895751517315,0.3248839700107104,1.8807689097838485,2025
ATL,44,12239.066666666668,2984,1248,821,494,942,0.4182305630026809,0.2751340482573726,1.453051975640844,2025
DAL,44,12447.45,3143,950,809,563,888,0.3022589882278078,0.2573973910276805,1.6282853114493328,2025
MIN,44,13014.583333333334,2997,1116,707,532,1026,0.3723723723723723,0.2359025692359025,1.4715799583800224,2025
CON,44,12149.566666666668,2951,896,802,577,765,0.3036258895289732,0.2717722805828532,1.7096906062493311,2025
a94924c8-9ca9-49aa-94f1-864f49c51a1c,1,283.0833333333333,107,64,8,8,36,0.5981308411214953,0.0747663551401869,1.017368266117162,2025
bffa4df2-c1b7-4ef4-b3d5-d5cc26df350f,1,240.33333333333331,104,56,16,12,45,0.5384615384615384,0.1538461538461538,1.79750346740638,2025
SEA,44,12479.416666666666,3044,971,703,511,938,0.3189881734559789,0.230946123521682,1.4741073634584951,2025
IND,44,12492.133333333331,3025,1056,791,565,906,0.3490909090909091,0.2614876033057851,1.6282246960753968,2025
