playerId,playerName,games,minutes,foulsCommittedOffensive
player_maya_caldwell,Maya Caldwell,,,25.0
player_jordin_canada,Jordin Canada,,,17.0
player_nia_coffey,Nia Coffey,,,24.0
player_allisha_gray,Allisha Gray,,1451.0,4.0
player_brittney_griner,Brittney Griner,,,25.0
player_naz_hillmon,Naz Hillmon,,1122.0,7.0
player_rhyne_howard,Rhyne Howard,,1151.0,3.0
player_brionna_jones,Brionna Jones,,1169.0,15.0
player_te_hina_paopao,Te-Hina PaoPao,,,33.0
player_kamiah_smalls,Kamiah Smalls,,3.0,0.0
player_taylor_thierry,Taylor Thierry,,36.0,0.0
player_shatori_walker_kimbrough,Shatori Walker-Kimbrough,,,13.0
player_rebecca_allen,Rebecca Allen,,821.0,0.0
player_ariel_atkins,Ariel Atkins,,,34.0
player_rachel_banham,Rachel Banham,,1081.0,3.0
player_kamilla_cardoso,Kamilla Cardoso,,1102.0,17.0
player_moriah_jefferson,Moriah Jefferson,,5.0,1.0
player_kia_nurse,Kia Nurse,,,30.0
player_michaela_onyenwere,Michaela Onyenwere,,,26.0
player_angel_reese,Angel Reese,,,37.0
player_courtney_vandersloot,Courtney Vandersloot,,7.0,7.0
player_hailey_van_lith,Hailey Van Lith,,,10.0
player_maddy_westbeld,Maddy Westbeld,,,20.0
player_elizabeth_williams,Elizabeth Williams,,906.0,7.0
player_lindsay_allen,Lindsay Allen,,,15.0
player_jaelyn_brown,Jaelyn Brown,,131.0,0.0
player_tina_charles,Tina Charles,,1222.0,9.0
player_kariata_diaby,Kariata Diaby,,,2.0
player_bria_hartley,Bria Hartley,,,30.0
player_le_la_lacan,Leila Lacan,,,32.0
player_marina_mabrey,Marina Mabrey,,1103.0,14.0
player_rayah_marshall,Rayah Marshall,,90.0,0.0
player_aneesah_morrow,Aneesah Morrow,,,45.0
player_olivia_nelson_ododa,Olivia Nelson-Ododa,,,38.0
player_robyn_parks,Robyn Parks,,6.0,0.0
player_haley_peters,Haley Peters,,380.0,6.0
player_saniya_rivers,Saniya Rivers,,1097.0,2.0
player_mamignan_tour,Mamignan Toure,,,11.0
player_paige_bueckers,Paige Bueckers,,1199.0,2.0
player_luisa_geiselsoder,Luisa Geiselsoder,,,34.0
player_tyasha_harris,Tyasha Harris,,5.0,2.0
player_myisha_hines_allen,Myisha Hines-Allen,,,53.0
player_aziaha_james,Aziaha James,,,24.0
player_teaira_mccowan,Teaira McCowan,,,8.0
player_arike_ogunbowale,Arike Ogunbowale,,,13.0
player_amy_okonkwo,Amy Okonkwo,,8.0,2.0
player_ajae_petty,Ajae Petty,,2.0,0.0
player_jj_quinerly,JJ Quinerly,,,30.0
player_maddy_siegrist,Maddy Siegrist,,,29.0
player_serena_sundell,Serena Sundell,,3.0,1.0
player_christyn_williams,Christyn Williams,,4.0,1.0
player_laeticia_amihere,Laeticia Amihere,,,19.0
player_monique_billings,Monique Billings,,,25.0
player_veronica_burton,Veronica Burton,,1292.0,3.0
player_kaitlyn_chen,Kaitlyn Chen,,,11.0
player_temi_fagbenle,Temi Fagbenle,,,48.0
player_tiffany_hayes,Tiffany Hayes,,,19.0
player_carla_leite,Carla Leite,,,20.0
player_kyara_linskens,Kyara Linskens,,4.0,1.0
player_kate_martin,Kate Martin,,,24.0
player_iliana_rupert,Iliana Rupert,,,25.0
player_janelle_sala_n,Janelle Salaun,,,26.0
player_kayla_thornton,Kayla Thornton,,,14.0
player_cecilia_zandalasini,Cecilia Zandalasini,,,13.0
player_aliyah_boston,Aliyah Boston,1327.0,6.5,63.0
player_caitlin_clark,Caitlin Clark,,,21.0
player_sydney_colson,Sydney Colson,,,12.0
player_sophie_cunningham,Sophie Cunningham,,,20.0
player_damiris_dantas,Damiris Dantas,,439.0,7.0
player_natasha_howard,Natasha Howard,,1060.0,12.0
player_lexie_hull,Lexie Hull,,1189.0,2.0
player_kyra_lambert,Kyra Lambert,,1.0,0.0
player_aari_mcdonald,Aari McDonald,,,17.0
player_kelsey_mitchell,Kelsey Mitchell,,1381.0,7.0
player_makayla_timpson,Makayla Timpson,,219.0,2.0
player_brianna_turner,Brianna Turner,,233.0,1.0
player_julie_allemand,Julie Allemand,,,37.0
player_sarah_ashlee_barker,Sarah Ashlee Barker,,,19.0
player_cameron_brink,Cameron Brink,,,24.0
player_rae_burrell,Rae Burrell,,515.0,1.0
player_emma_cannon,Emma Cannon,,,8.0
player_sania_feagin,Sania Feagin,,,8.0
player_dearica_hamby,Dearica Hamby,,1374.0,14.0
player_rickea_jackson,Rickea Jackson,,1173.0,4.0
player_kelsey_plum,Kelsey Plum,,1508.0,16.0
player_mercedes_russell,Mercedes Russell,,,9.0
player_azura_stevens,Azura Stevens,1249.0,-4.1,45.0
player_kierstan_bell,Kierstan Bell,,,17.0
