playerId,playerName,seasonKey
player_monique_akoa_makani,Monique Akoa Makani,monique_akoa_makani|
player_julie_allemand,Julie Allemand,julie_allemand|
player_lindsay_allen,Lindsay Allen,lindsay_allen|
player_rebecca_allen,Rebecca Allen,rebecca_allen|
player_laeticia_amihere,Laeticia Amihere,laeticia_amihere|
player_yvonne_anderson,Yvonne Anderson,yvonne_anderson|
player_ariel_atkins,Ariel Atkins,ariel_atkins|
player_shakira_austin,Shakira Austin,shakira_austin|
player_mari_me_badiane,Marième Badiane,mari_me_badiane|
player_rachel_banham,Rachel Banham,rachel_banham|
player_sarah_ashlee_barker,Sarah Ashlee Barker,sarah_ashlee_barker|
player_kierstan_bell,Kierstan Bell,kierstan_bell|
player_monique_billings,Monique Billings,monique_billings|
player_aliyah_boston,Aliyah Boston,aliyah_boston|
player_crystal_bradford,Crystal Bradford,crystal_bradford|
player_cameron_brink,Cameron Brink,cameron_brink|
player_jaelyn_brown,Jaelyn Brown,jaelyn_brown|
player_kalani_brown,Kalani Brown,kalani_brown|
player_lexie_brown,Lexie Brown,lexie_brown|
player_paige_bueckers,Paige Bueckers,paige_bueckers|
player_kennedy_burke,Kennedy Burke,kennedy_burke|
player_rae_burrell,Rae Burrell,rae_burrell|
player_veronica_burton,Veronica Burton,veronica_burton|
player_maya_caldwell,Maya Caldwell,maya_caldwell|
player_jordin_canada,Jordin Canada,jordin_canada|
player_emma_cannon,Emma Cannon,emma_cannon|
player_kamilla_cardoso,Kamilla Cardoso,kamilla_cardoso|
player_bridget_carleton,Bridget Carleton,bridget_carleton|
player_tina_charles,Tina Charles,tina_charles|
player_kaitlyn_chen,Kaitlyn Chen,kaitlyn_chen|
player_sonia_citron,Sonia Citron,sonia_citron|
player_caitlin_clark,Caitlin Clark,caitlin_clark|
player_natasha_cloud,Natasha Cloud,natasha_cloud|
player_nia_coffey,Nia Coffey,nia_coffey|
player_napheesa_collier,Napheesa Collier,napheesa_collier|
player_sydney_colson,Sydney Colson,sydney_colson|
player_zia_cooke,Zia Cooke,zia_cooke|
player_kahleah_copper,Kahleah Copper,kahleah_copper|
player_sophie_cunningham,Sophie Cunningham,sophie_cunningham|
player_damiris_dantas,Damiris Dantas,damiris_dantas|
player_kariata_diaby,Kariata Diaby,kariata_diaby|
player_skylar_diggins,Skylar Diggins,skylar_diggins|
player_stefanie_dolson,Stefanie Dolson,stefanie_dolson|
player_emily_engstler,Emily Engstler,emily_engstler|
player_dana_evans,Dana Evans,dana_evans|
player_temi_fagbenle,Temi Fagbenle,temi_fagbenle|
player_sania_feagin,Sania Feagin,sania_feagin|
