PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
481,A''ja Wilson,LVA,C,40,1247,937,407,122,64,92,25,50.5,85.5,87,91,316,59,42.4,332,657,248,290
539,Kelsey Mitchell,IND,G,44,1381,890,77,150,39,7,111,45.6,78.4,78,18,59,282,39.4,315,691,149,190
425,Kelsey Plum,LAS,G,43,1508,839,132,247,53,4,99,42.2,89.3,131,10,122,279,35.5,261,618,218,244
415,Dearica Hamby,LAS,F,44,1374,811,349,144,69,21,15,57.2,62.7,117,113,236,54,27.8,324,566,148,236
326,Nneka Ogwumike,SEA,F,44,1359,803,309,99,50,18,66,51.9,82.2,85,59,250,180,36.7,320,617,97,118
297,Allisha Gray,ATL,G,42,1451,773,223,147,45,15,98,45.1,79.9,74,36,187,255,38.4,246,546,183,229
574,Napheesa Collier,MIN,F,33,1065,755,241,105,54,50,50,53.1,90.6,70,62,179,124,40.3,275,518,155,171
571,Jackie Young,LVA,G,44,1336,727,196,226,57,18,80,47.4,89.4,98,52,144,224,35.7,260,549,127,142
368,Tina Charles,CON,C,43,1222,700,248,74,33,19,12,43.8,85.7,82,62,186,46,26.1,260,593,168,196
641,Sabrina Ionescu,NYL,G,38,1194,693,185,216,48,16,81,40.1,93.3,100,30,155,271,29.9,230,573,152,163
979,Paige Bueckers,DAL,G,36,1199,692,142,194,57,18,39,47.7,88.8,72,25,117,118,33.1,259,543,135,152
287,Skylar Diggins,SEA,G,43,1343,667,108,258,52,35,62,42.3,78.8,91,27,81,170,36.5,228,539,149,189
852,Aliyah Boston,IND,C,44,1327,660,361,163,52,41,6,53.8,76.2,81,107,254,29,20.7,271,504,112,147
984,Sonia Citron,WAS,G,44,1415,657,174,104,55,17,81,47.0,87.2,91,29,145,182,44.5,223,474,130,149
642,Satou Sabally,PHO,F,39,1039,636,231,98,49,13,67,40.5,82.7,77,54,177,209,32.1,208,514,153,185
272,Alyssa Thomas,PHO,F,39,1221,599,344,357,62,17,0,53.2,69.2,135,64,280,6,0.0,241,453,117,169
278,Courtney Williams,MIN,G,44,1260,599,216,271,55,14,58,42.7,84.9,101,23,193,149,38.9,248,581,45,53
991,Kiki Iriafen,WAS,F,44,1185,584,376,69,26,7,2,48.8,78.4,96,114,262,11,18.2,222,455,138,176
784,Rhyne Howard,ATL,G,33,1151,577,148,153,51,27,102,37.5,85.6,55,31,117,317,32.2,187,499,101,118
440,Breanna Stewart,NYL,F,31,948,566,203,108,42,42,21,46.1,83.7,60,31,172,87,24.1,188,408,169,202
280,Brionna Jones,ATL,F,44,1169,564,319,95,48,36,12,52.7,77.3,64,136,183,46,26.1,225,427,102,132
483,"Azur&#2013265921; Stevens",LAS,C,44,1249,561,352,94,54,47,74,47.8,79.0,64,74,278,194,38.1,204,427,79,100
918,Rickea Jackson,LAS,F,38,1173,558,122,64,23,14,65,42.4,84.7,78,38,84,187,34.8,205,483,83,98
413,Kayla McBride,MIN,G,39,1220,554,89,137,49,3,103,41.6,90.5,67,10,79,261,39.5,178,428,95,105
916,Kamilla Cardoso,CHI,C,40,1102,543,341,98,14,47,1,52.8,72.2,97,118,223,2,50.0,223,422,96,133
796,Veronica Burton,GSV,G,44,1292,525,192,265,50,27,61,38.7,87.8,94,50,142,177,34.5,149,385,166,189
484,Gabby Williams,SEA,F,44,1391,510,189,185,99,21,50,42.2,85.3,84,24,165,164,30.5,198,469,64,75
603,Marina Mabrey,CON,G,35,1103,504,146,141,24,10,66,36.7,87.0,98,17,129,244,27.0,179,488,80,92
354,Natasha Howard,IND,F,44,1060,500,290,66,52,25,6,55.2,71.2,85,86,204,33,18.2,200,362,94,132
331,Chelsea Gray,LVA,G,44,1368,493,173,239,62,28,63,43.8,88.5,125,25,148,171,36.8,169,386,92,104
436,Jewell Loyd,LVA,G,44,1245,491,142,81,52,11,100,38.9,83.1,53,49,93,262,38.2,166,427,59,71
786,Shakira Austin,WAS,F,38,874,481,242,68,41,43,2,46.5,66.4,92,57,185,15,13.3,191,411,97,146
309,Erica Wheeler,SEA,G,44,1126,455,119,144,56,9,76,40.0,86.0,68,17,102,204,37.3,168,420,43,50
580,Arike Ogunbowale,DAL,G,29,966,450,72,120,39,7,48,36.4,93.1,60,10,62,158,30.4,147,404,108,116
498,Ariel Atkins,CHI,G,34,970,447,114,122,53,24,43,44.4,86.0,84,23,91,119,36.1,162,365,80,93
915,Angel Reese,CHI,F,30,947,440,377,110,44,20,4,45.8,75.6,118,123,254,22,18.2,153,334,130,172
254,Kahleah Copper,PHO,G,28,752,438,81,43,30,5,57,42.3,85.2,62,11,70,151,37.7,153,362,75,88
276,Jonquel Jones,NYL,C,31,830,423,251,85,15,33,53,49.0,76.9,65,45,206,125,42.4,150,306,70,91
453,Natasha Cloud,NYL,G,41,1191,414,151,211,49,14,52,43.3,87.0,77,14,137,154,33.8,151,349,60,69
969,Janelle Salaun,GSV,F,36,973,407,183,43,22,3,63,40.6,80.6,53,32,151,172,36.6,147,362,50,62
577,Alanna Smith,MIN,F,42,1114,404,214,121,55,80,53,48.5,47.7,65,65,149,161,32.9,160,330,31,65
587,Natisha Hiedeman,MIN,G,44,833,399,82,123,32,9,46,49.3,76.1,54,11,71,124,37.1,151,306,51,67
275,Rachel Banham,CHI,G,44,1081,396,74,119,26,11,86,38.2,88.1,71,6,68,241,35.7,129,338,52,59
432,Sami Whitcomb,PHO,G,43,1027,390,113,108,33,7,86,38.5,85.2,67,16,97,238,36.1,129,335,46,54
238,Brittney Sykes,WAS,G,25,774,385,85,109,31,8,21,37.9,78.5,68,12,73,66,31.8,120,317,124,158
394,Brittney Griner,ATL,C,39,810,382,203,33,5,47,5,51.8,76.5,59,36,167,19,26.3,156,301,65,85
799,Naz Hillmon,ATL,F,44,1122,380,271,105,21,19,53,46.3,83.1,50,69,202,165,32.1,139,300,49,59
1007,Saniya Rivers,CON,G,42,1097,371,118,113,62,38,43,40.7,74.6,62,29,89,126,34.1,142,349,44,59
233,Elizabeth Williams,CHI,F,43,906,364,223,78,31,39,0,48.0,61.7,56,79,144,0,0.0,157,327,50,81
585,Ezi Magbegor,SEA,F,44,1203,353,272,92,30,96,14,49.3,68.7,43,85,187,48,29.2,141,286,57,83
